id_cliente,id_sucursal,id_producto,fecha_liquidacion,cod_zona,cant_cajafisicavta,cant_cajaunitvta,imp_netovta,cod_compania,desc_compania,desc_sucursal,cod_pais,fecha_creacion_cliente,cod_cliente,desc_marca,desc_formato,desc_categoria,cod_giro,cod_subgiro,desc_giro,desc_subgiro,fecha_proceso,cod_articulo_magic,dias_de_visita__c,periodo_de_visita__c,ultima_visita,new_segment,cod_ruta,cod_modulo,cod_sucursal,desc_articulo,mes
MX|0030|1547125,MX|0030|112,MX|0030|500354,2025-09-25,1165,1.0,0.3644,96.6714,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1547125,BIG,0.911,GASEOSAS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,500354,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,BIG COLA 0.911ml PET NO RETORNABLE 12 PACK,2025-09-01
MX|0030|1627805,MX|0030|112,MX|0030|517262,2025-12-19,1165,10.0,2.365,1754.0622,0030,AJEMEX,TULTITLAN 2,MX,20170504.0,1627805,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517262,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT MORA REGULAR LATA 473 ML 15,2025-12-01
MX|0030|1588851,MX|0030|112,MX|0030|522512,2025-03-07,1165,2.0,0.3784,233.4731,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588851,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,522512,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT PONCHE DE FRUTA LATA 473 ML 12,2025-03-01
MX|0030|1547125,MX|0030|112,MX|0030|517262,2025-12-20,1165,3.0,0.7095,526.2176,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1547125,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517262,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT MORA REGULAR LATA 473 ML 15,2025-12-01
MX|0030|1588851,MX|0030|112,MX|0030|517140,2025-02-18,1165,1.0,0.2365,177.638,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588851,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517140,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT GUARANA REGULAR LATA 473 ML 15,2025-02-01
MX|0030|1631547,MX|0030|112,MX|0030|522512,2025-11-07,1165,2.0,0.3784,262.3568,0030,AJEMEX,TULTITLAN 2,MX,20170603.0,1631547,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,522512,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT PONCHE DE FRUTA LATA 473 ML 12,2025-11-01
MX|0030|1660508,MX|0030|112,MX|0030|517263,2025-09-13,1165,2.0,0.32,192.767,0030,AJEMEX,TULTITLAN 2,MX,20180221.0,1660508,VOLT,0.4,ENERGIZANTE,210,212,FARMACIAS O BOTICAS,FARMACIAS / BOTICAS INDEPENDIENTES,20260224,517263,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT MORA REGULAR PET NO RETORNABLE 400 ML 12,2025-09-01
MX|0030|1588861,MX|0030|112,MX|0030|800060,2025-02-17,1165,1.0,0.001666666666,21.5,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588861,D GUSSTO,0.05,CAFE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,800060,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,D GUSSTO CAFE SUPREMO VIDRIO NO RETORNABLE 50 GRS 1,2025-02-01
MX|0030|1588861,MX|0030|112,MX|0030|517140,2025-02-17,1165,1.0,0.2365,168.178,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588861,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517140,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT GUARANA REGULAR LATA 473 ML 15,2025-02-01
MX|0030|1588861,MX|0030|112,MX|0030|523439,2025-02-18,1165,1.0,0.15,45.0027,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588861,CIFRUT,0.3,JUGOS LIGEROS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,523439,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,"CIFRUT NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 300 ML 15",2025-02-01
