id_cliente;cod_articulo_magic
0000|1597214;517140
0000|1813261;522355
0000|1638644;509826
0000|1590478;76643
0000|1595394;599228
0000|1591985;599111
0000|1813950;800060
0000|1705923;599837
0000|1595125;517140
0000|1812318;599111
0000|1837596;522575
0000|1600171;599111
0000|1595868;522713
0000|1837593;523437
0000|1591887;599212
0000|1601428;517263
0000|1813263;517140
0000|1597327;599228
0000|1740576;599837
0000|1837594;509826
0000|1829807;598801
0000|1604698;800071
0000|1597131;598801
0000|1602385;517263
0000|1837590;509826
0000|1796430;800058
0000|1705924;500354
0000|1639144;599837
0000|1638646;76643
0000|1813262;517140
0000|1598830;522355
0000|1639143;522355
0000|1638648;522512
0000|1602285;517146
0000|1599482;500354
0000|1639149;522795
0000|1592476;517262
0000|1596125;599837
0000|1590473;522713
0000|1593100;522713
0000|1708734;509826
0000|1594973;599111
0000|1837595;599837
0000|1593110;522856
0000|1594181;598901
0000|1705928;599837
0000|1722688;800071
0000|1722568;523437
0000|1797890;517140
0000|1705926;523519
0000|1638649;598801
0000|1770183;500354
0000|1600328;522713
0000|1603433;517263
0000|1599470;599587
0000|1601463;599837
0000|1600286;517262
0000|1579667;517140
0000|1639148;523538
0000|1837589;599837
0000|1593043;598801
0000|1517017;522355
0000|1587636;522353
0000|1596046;598801
0000|1602254;522713
0000|1604440;599837
0000|1524033;516209
0000|1597214;598801
0000|1813261;598801
0000|1638644;599212
0000|1590478;522856
0000|1595394;522856
0000|1591985;599837
0000|1813950;522795
0000|1705923;517263
0000|1595125;522512
0000|1812318;76643
0000|1837596;523437
0000|1600171;598901
0000|1595868;599111
0000|1837593;599837
0000|1591887;598801
0000|1601428;598901
0000|1813263;517262
0000|1597327;522512
0000|1740576;599590
0000|1837594;517140
0000|1829807;800060
0000|1604698;800060
0000|1597131;599212
0000|1602385;599837
0000|1837590;523538
0000|1796430;522512
0000|1705924;598901
0000|1639144;598801
0000|1638646;500264
0000|1813262;522856
0000|1598830;599228
0000|1639143;599212
0000|1638648;599228
0000|1602285;500264
0000|1599482;599587
0000|1639149;599587
0000|1592476;517263
0000|1596125;522856
0000|1590473;599565
0000|1593100;522512
0000|1708734;599111
0000|1594973;522352
0000|1837595;599590
0000|1593110;522353
0000|1594181;599111
0000|1705928;523439
0000|1722688;522795
0000|1722568;522442
0000|1797890;522512
0000|1705926;517140
0000|1638649;800060
0000|1770183;522713
0000|1600328;522512
0000|1603433;599228
0000|1599470;598801
0000|1601463;598801
0000|1600286;523595
0000|1579667;598901
0000|1639148;522633
0000|1837589;509826
0000|1593043;599837
0000|1517017;800060
0000|1587636;522352
0000|1596046;516209
0000|1602254;517140
0000|1604440;517140
0000|1524033;599587
0000|1597214;800060
0000|1813261;800060
0000|1638644;522352
0000|1590478;517140
0000|1595394;522512
0000|1591985;599212
0000|1813950;523439
0000|1705923;522795
0000|1595125;599111
0000|1812318;800058
0000|1837596;599218
0000|1600171;522795
0000|1595868;522512
0000|1837593;599590
0000|1591887;523519
0000|1601428;500354
0000|1813263;599837
0000|1597327;598901
0000|1740576;599587
0000|1837594;522632
0000|1829807;800071
0000|1604698;523278
0000|1597131;599837
0000|1602385;800060
0000|1837590;599590
0000|1796430;599228
0000|1705924;500264
0000|1639144;517262
