id_cliente,marca_rec,sku,len_marca_rec,desc_rec,desc_giro,desc_subgiro,categoria_cliente_2,visitas_a_quitar,fecha_creacion,antiguedad,new_segment,dias_de_visita__c,periodo_de_visita__c,ultima_visita,cod_compania,cod_sucursal,cod_cliente,cod_modulo,cod_ruta,peso,marca_rec_rank,flag,flag_rank
MX|0030|1515055,BIG,500330,9,BIG COLA REGULAR PET NO RETORNABLE 1500 ML 12 PACK,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,6,2016-03-18,old_client,OPTIMIZAR,6,F1,2024-11-16,30,84,1515055,11556,1155,2,2,S,0
MX|0030|1515055,CIFRUT,599876,9,CIFRUT UVA PET NO RETORNABLE 300 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,6,2016-03-18,old_client,OPTIMIZAR,6,F1,2024-11-16,30,84,1515055,11556,1155,2,3,S,0
MX|0030|1515055,VIDA,522352,9,VIDA AGUA PET NO RETORNABLE 1000 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,6,2016-03-18,old_client,OPTIMIZAR,6,F1,2024-11-16,30,84,1515055,11556,1155,2,5,S,0
MX|0030|1515055,VOLT,599228,9,VOLT FRUTOS DEL BOSQUE LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,6,2016-03-18,old_client,OPTIMIZAR,6,F1,2024-11-16,30,84,1515055,11556,1155,1,1,B,2
MX|0030|1522056,BIG,523125,9,BIG COLA PET NO RETORNABLE 300 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-18,old_client,DESARROLLAR,6,F1,2024-11-16,30,84,1522056,11586,1158,2,2,S,0
MX|0030|1522056,SPORADE,598801,9,SPORADE MORA PET NO RETORNABLE 625 ML 6,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-18,old_client,DESARROLLAR,6,F1,2024-11-16,30,84,1522056,11586,1158,2,4,S,0
MX|0030|1522069,SPORADE,599590,9,SPORADE PONCHE DE FRUTA PET NO RETORNABLE 1000 ML 6,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-18,old_client,DESARROLLAR,6,F1,2024-11-16,30,84,1522069,11586,1158,2,4,S,0
MX|0030|1522069,VIDA,522355,9,VIDA AGUA PET NO RETORNABLE 3000 ML 6,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-18,old_client,DESARROLLAR,6,F1,2024-11-16,30,84,1522069,11586,1158,2,5,S,0
MX|0030|1525552,VOLT,517140,9,VOLT GUARANA REGULAR LATA 473 ML 15,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,6,2016-03-18,old_client,MANTENER,6,F1,2024-11-16,30,84,1525552,11556,1155,1,1,S,0
MX|0030|1525552,BIG,500330,9,BIG COLA REGULAR PET NO RETORNABLE 1500 ML 12 PACK,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,6,2016-03-18,old_client,MANTENER,6,F1,2024-11-16,30,84,1525552,11556,1155,2,2,S,0
MX|0030|1525552,CIFRUT,522442,9,CIFRUT MANZANA PET NO RETORNABLE 300 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,6,2016-03-18,old_client,MANTENER,6,F1,2024-11-16,30,84,1525552,11556,1155,2,3,S,0
MX|0030|1560344,AMAYU,522661,9,AMAYU CAMU CAMU LATA 473 ML 4,LICORERIAS,LICORERIAS,Regular,2,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1560344,10656,1065,5,1,S,0
MX|0030|1560344,BIG,523125,9,BIG COLA PET NO RETORNABLE 300 ML 12,LICORERIAS,LICORERIAS,Regular,2,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1560344,10656,1065,5,2,S,0
MX|0030|1560348,BIG,500171,8,BIG COLA REGULAR PET NO RETORNABLE 3000 ML 6 PACK,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1560348,10656,1065,5,1,S,0
MX|0030|1560348,CIFRUT,522721,8,CIFRUT MANZANA LATA 473 ML 6,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1560348,10656,1065,5,2,S,0
MX|0030|1560351,BIG,500171,9,BIG COLA REGULAR PET NO RETORNABLE 3000 ML 6 PACK,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-22,old_client,BLINDAR,6,F1,2024-11-16,30,112,1560351,10656,1065,2,2,S,0
MX|0030|1560361,AMAYU,522662,9,AMAYU GUAYUSA LATA 473 ML 4,,"BODEGAS, TIENDAS",Irregular,0,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1560361,10656,1065,5,1,S,0
MX|0030|1560361,D GUSSTO,800060,9,D GUSSTO CAFE SUPREMO VIDRIO NO RETORNABLE 50 GRS 1,,"BODEGAS, TIENDAS",Irregular,0,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1560361,10656,1065,5,4,S,0
MX|0030|1560362,AMAYU,522662,9,AMAYU GUAYUSA LATA 473 ML 4,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1560362,10656,1065,5,1,S,0
MX|0030|1560362,BIG,523125,9,BIG COLA PET NO RETORNABLE 300 ML 12,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1560362,10656,1065,5,2,S,0
MX|0030|1560395,BIG,500171,9,BIG COLA REGULAR PET NO RETORNABLE 3000 ML 6 PACK,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-22,old_client,OPTIMIZAR,6,F1,2024-11-16,30,112,1560395,10656,1065,2,2,S,0
MX|0030|1560395,CIFRUT,522442,9,CIFRUT MANZANA PET NO RETORNABLE 300 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-22,old_client,OPTIMIZAR,6,F1,2024-11-16,30,112,1560395,10656,1065,2,3,S,0
MX|0030|1560395,SPORADE,598801,9,SPORADE MORA PET NO RETORNABLE 625 ML 6,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-22,old_client,OPTIMIZAR,6,F1,2024-11-16,30,112,1560395,10656,1065,2,4,S,0
MX|0030|1560395,VOLT,522856,9,VOLT GUARANA LATA 473 ML 15,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-22,old_client,OPTIMIZAR,6,F1,2024-11-16,30,112,1560395,10656,1065,1,1,B,2
MX|0030|1560912,AMAYU,522662,9,AMAYU GUAYUSA LATA 473 ML 4,,"BODEGAS, TIENDAS",Irregular,0,,nf,OPTIMIZAR,6,F1,2024-11-16,30,112,1560912,10656,1065,5,1,S,0
MX|0030|1560912,D GUSSTO,800060,9,D GUSSTO CAFE SUPREMO VIDRIO NO RETORNABLE 50 GRS 1,,"BODEGAS, TIENDAS",Irregular,0,,nf,OPTIMIZAR,6,F1,2024-11-16,30,112,1560912,10656,1065,5,4,S,0
MX|0030|1560912,BIG,500354,9,BIG COLA 0.911ml PET NO RETORNABLE 12 PACK,,"BODEGAS, TIENDAS",Irregular,0,,nf,OPTIMIZAR,6,F1,2024-11-16,30,112,1560912,10656,1065,5,2,B,2
MX|0030|1560912,CIFRUT,598901,9,CIFRUT NARANJA MANDARINA Y LIMON PET NO RETORNABLE 3030 ML 6,,"BODEGAS, TIENDAS",Irregular,0,,nf,OPTIMIZAR,6,F1,2024-11-16,30,112,1560912,10656,1065,5,3,B,2
MX|0030|1560916,VOLT,522512,9,VOLT PONCHE DE FRUTA LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1560916,10656,1065,1,1,S,0
MX|0030|1560916,BIG,523125,9,BIG COLA PET NO RETORNABLE 300 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1560916,10656,1065,2,2,S,0
MX|0030|1560999,BIG,500171,9,BIG COLA REGULAR PET NO RETORNABLE 3000 ML 6 PACK,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,6,2016-03-22,old_client,BLINDAR,6,F1,2024-11-16,30,112,1560999,10656,1065,2,2,S,0
MX|0030|1561021,AMAYU,522662,9,AMAYU GUAYUSA LATA 473 ML 4,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,OPTIMIZAR,6,F1,2024-11-16,30,112,1561021,10656,1065,5,1,S,0
MX|0030|1561021,CIFRUT,599876,9,CIFRUT UVA PET NO RETORNABLE 300 ML 12,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,OPTIMIZAR,6,F1,2024-11-16,30,112,1561021,10656,1065,5,3,S,0
MX|0030|1561021,PULP,522633,9,PULP DURAZNO PET NO RETORNABLE 450 ML 12,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,OPTIMIZAR,6,F1,2024-11-16,30,112,1561021,10656,1065,5,5,S,0
MX|0030|1561021,BIG,500264,9,BIG COLA REGULAR PET NO RETORNABLE 500 ML 12 PACK,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,OPTIMIZAR,6,F1,2024-11-16,30,112,1561021,10656,1065,5,2,B,2
MX|0030|1561568,BIG,523125,9,BIG COLA PET NO RETORNABLE 300 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1561568,10656,1065,2,2,S,0
MX|0030|1561568,SPORADE,516209,9,SPORADE PONCHE DE FRUTAS PET NO RETORNABLE 625 ml 6 pack,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1561568,10656,1065,2,4,S,0
MX|0030|1561569,AMAYU,522661,9,AMAYU CAMU CAMU LATA 473 ML 4,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1561569,10656,1065,5,1,S,0
MX|0030|1561569,BIG,500171,9,BIG COLA REGULAR PET NO RETORNABLE 3000 ML 6 PACK,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1561569,10656,1065,5,2,S,0
MX|0030|1561570,AMAYU,522661,9,AMAYU CAMU CAMU LATA 473 ML 4,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,BLINDAR,6,F1,2024-11-16,30,112,1561570,10656,1065,5,1,S,0
MX|0030|1561571,AMAYU,522662,9,AMAYU GUAYUSA LATA 473 ML 4,,"BODEGAS, TIENDAS",Irregular,0,,nf,DESARROLLAR,6,F1,2024-11-16,30,112,1561571,10656,1065,5,1,S,0
MX|0030|1561571,D GUSSTO,800060,9,D GUSSTO CAFE SUPREMO VIDRIO NO RETORNABLE 50 GRS 1,,"BODEGAS, TIENDAS",Irregular,0,,nf,DESARROLLAR,6,F1,2024-11-16,30,112,1561571,10656,1065,5,4,S,0
MX|0030|1561572,BIG,523125,9,BIG COLA PET NO RETORNABLE 300 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1561572,10656,1065,2,2,S,0
MX|0030|1561572,SPORADE,599587,9,SPORADE MORA PET NO RETORNABLE 1000 ML 6,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1561572,10656,1065,2,4,S,0
MX|0030|1561574,SPORADE,599590,9,SPORADE PONCHE DE FRUTA PET NO RETORNABLE 1000 ML 6,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-22,old_client,BLINDAR,6,F1,2024-11-16,30,112,1561574,10656,1065,2,4,S,0
MX|0030|1563951,AMAYU,522662,9,AMAYU GUAYUSA LATA 473 ML 4,,"BODEGAS, TIENDAS",Irregular,0,,nf,OPTIMIZAR,6,F1,2024-11-16,30,112,1563951,10656,1065,5,1,S,0
MX|0030|1563951,D GUSSTO,800060,9,D GUSSTO CAFE SUPREMO VIDRIO NO RETORNABLE 50 GRS 1,,"BODEGAS, TIENDAS",Irregular,0,,nf,OPTIMIZAR,6,F1,2024-11-16,30,112,1563951,10656,1065,5,4,S,0
MX|0030|1563951,BIG,500354,9,BIG COLA 0.911ml PET NO RETORNABLE 12 PACK,,"BODEGAS, TIENDAS",Irregular,0,,nf,OPTIMIZAR,6,F1,2024-11-16,30,112,1563951,10656,1065,5,2,B,2
MX|0030|1563951,CIFRUT,598901,9,CIFRUT NARANJA MANDARINA Y LIMON PET NO RETORNABLE 3030 ML 6,,"BODEGAS, TIENDAS",Irregular,0,,nf,OPTIMIZAR,6,F1,2024-11-16,30,112,1563951,10656,1065,5,3,B,2
MX|0030|1563954,CIFRUT,522442,9,CIFRUT MANZANA PET NO RETORNABLE 300 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1563954,10656,1065,2,3,S,0
MX|0030|1563954,SPORADE,598801,9,SPORADE MORA PET NO RETORNABLE 625 ML 6,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1563954,10656,1065,2,4,S,0
MX|0030|1563967,AMAYU,522661,9,AMAYU CAMU CAMU LATA 473 ML 4,,"BODEGAS, TIENDAS",Irregular,0,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1563967,10656,1065,5,1,S,0
MX|0030|1563967,D GUSSTO,800060,9,D GUSSTO CAFE SUPREMO VIDRIO NO RETORNABLE 50 GRS 1,,"BODEGAS, TIENDAS",Irregular,0,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1563967,10656,1065,5,4,S,0
MX|0030|1564157,AMAYU,522661,9,AMAYU CAMU CAMU LATA 473 ML 4,,"BODEGAS, TIENDAS",Irregular,0,2016-03-22,old_client,DESARROLLAR,6,F1,2024-11-16,30,112,1564157,10656,1065,5,1,S,0
