id_cliente,marca_rec,sku,len_marca_rec,desc_rec,desc_giro,desc_subgiro,categoria_cliente_2,visitas_a_quitar,fecha_creacion,antiguedad,new_segment,dias_de_visita__c,periodo_de_visita__c,ultima_visita,cod_compania,cod_sucursal,cod_cliente,cod_modulo,cod_ruta,peso,marca_rec_rank
MX|0030|1514907,JUGOS LIGEROS,598901,7,CIFRUT NARANJA MANDARINA Y LIMON PET NO RETORNABLE 3030 ML 6,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,6,2016-03-18,old_client,MANTENER,3,F1,2025-02-26,30,84,1514907,11583,1158,2,1
MX|0030|1514907,ISOTONICA,598801,7,SPORADE MORA PET NO RETORNABLE 625 ML 6,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,6,2016-03-18,old_client,MANTENER,3,F1,2025-02-26,30,84,1514907,11583,1158,3,2
MX|0030|1516042,ISOTONICA,516209,3,SPORADE PONCHE DE FRUTAS PET NO RETORNABLE 625 ml 6 pack,,"BODEGAS, TIENDAS",Irregular,2,2016-03-18,old_client,DESARROLLAR,3,F1,2025-02-26,30,84,1516042,11583,1158,3,1
MX|0030|1524394,CAFE,800060,3,D GUSSTO CAFE SUPREMO VIDRIO NO RETORNABLE 50 GRS 1,,"BODEGAS, TIENDAS",Irregular,2,2016-03-18,old_client,MANTENER,3,F1,2025-02-26,30,84,1524394,11583,1158,2,1
MX|0030|1527488,ENERGIZANTE,517140,1,VOLT GUARANA REGULAR LATA 473 ML 15,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-18,old_client,DESARROLLAR,3,F1,2025-02-26,30,84,1527488,11583,1158,1,1
MX|0030|1547118,ENERGIZANTE,599218,4,VOLT GUARANA PET NO RETORNABLE 600 ML 12,,"BODEGAS, TIENDAS",Irregular,6,2016-03-22,old_client,BLINDAR,3,F1,2025-02-26,30,112,1547118,10653,1065,1,1
MX|0030|1547125,ENERGIZANTE,599218,6,VOLT GUARANA PET NO RETORNABLE 600 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,8,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-02-26,30,112,1547125,10653,1065,1,1
MX|0030|1547129,ENERGIZANTE,517297,4,VOLT RED LATA 473 ML 12 PACK,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,6,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-02-26,30,112,1547129,10653,1065,1,1
MX|0030|1547957,ENERGIZANTE,522576,4,ROMPE FRUTAS TROPICALES PET NO RETORNABLE 300 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,6,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-02-26,30,112,1547957,10653,1065,1,1
MX|0030|1547957,ISOTONICA,516209,4,SPORADE PONCHE DE FRUTAS PET NO RETORNABLE 625 ml 6 pack,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,6,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-02-26,30,112,1547957,10653,1065,3,2
MX|0030|1548394,ENERGIZANTE,517146,2,VOLT GUARANA REGULAR PET NO RETORNABLE 400 ML 12,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-02-26,30,112,1548394,10653,1065,1,1
MX|0030|1548409,ENERGIZANTE,517262,1,VOLT MORA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,0,2016-03-22,old_client,BLINDAR,3,F1,2025-02-26,30,112,1548409,10653,1065,1,1
MX|0030|1548410,ENERGIZANTE,517140,1,VOLT GUARANA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-02-26,30,112,1548410,10653,1065,1,1
MX|0030|1548563,AGUA,522795,3,VIDA AGUA PET NO RETORNABLE 1500 ML 12,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-02-26,30,112,1548563,10653,1065,1,1
MX|0030|1548563,ENERGIZANTE,599218,3,VOLT GUARANA PET NO RETORNABLE 600 ML 12,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-02-26,30,112,1548563,10653,1065,1,2
MX|0030|1555784,ENERGIZANTE,522512,1,VOLT PONCHE DE FRUTA LATA 473 ML 12,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-02-26,30,112,1555784,10653,1065,1,1
MX|0030|1555802,ENERGIZANTE,517140,1,VOLT GUARANA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,6,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-02-26,30,112,1555802,10653,1065,1,1
MX|0030|1587626,CAFE,76643,4,CAFE LIOFILIZADO D´GUSSTO 6GRM 20 PZAS,BODEGA Y PARTICULARES,VENTA EN CASA PARTICULAR,Regular,6,2016-09-21,old_client,OPTIMIZAR,3,F1,2025-02-26,30,84,1587626,11583,1158,2,1
MX|0030|1588818,AGUA,522795,3,VIDA AGUA PET NO RETORNABLE 1500 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,6,2016-10-31,old_client,OPTIMIZAR,3,F1,2025-02-26,30,112,1588818,10653,1065,1,1
