cod_articulo_magic,desc_articulo
70871,BASE PARA BEBIDA JARABEADA CARBONATADA MANZANITA BG-MX-180570
70873,BASE PARA BEBIDA JARABEADA CARBONATADA MANZANA BG-MX-180571
72428,BASE PARA BEBIDA JARABEADA CARBONATADA BANANA BG-MX-180589 / 1U
72610,BASE PARA BEBIDA JARABEADA CARBONATADA LIMONADA BG-MX-190619
72950,BASE PARA BEBIDA DE ARÁNDANO 72950
73044,BASE PARA BEBIDA CARBONATADA MANZANA 73044
73142,BASE PARA BEBIDA ENERGY YELLOW PLUS 73141 - PARTE 2
73170,BASE PARA BEBIDA ENERGY YELLOW SIN AZÚCAR 73169 - PARTE 2
73171,BASE PARA BEBIDA ENERGY YELLOW SIN AZÚCAR 73169 - PARTE 3
73189,BASE PARA BEBIDA CIFRUT UVA SIN AZÚCAR 73189
73280,BASE PARA BEBIDA VOLT YELLOW E 73280
73282,BASE PARA BEBIDA VOLT YELLOW E 73280 - PARTE 3
73374,BASE PARA BEBIDA ENERGY CAFÉ 73371 - PARTE 4
73679,BASE PARA BEBIDA DE NARANJA P 73676 - PARTE 4
73821,BASE PARA BEBIDA JARABEADA CARBONATADA MANZANA BG-MX-180594 CÓDIGO 73816 - PARTE 3
73873,BASE PARA BEBIDA DE DURAZNO FORTIFICADO 73872 - PARTE 2
74051,BASE PARA BEBIDA ENERGY BLUEBERRY 74048 - PARTE 4
74534,BASE PARA BEBIDA DE PERA P 74531 - PARTE 4
74547,BASE PARA BEBIDA DE PI¥A P 74546 - PARTE 2
74618,BASE PARA BEBIDA VOLT DARK 74616 - PARTE 3
75045,BASE PARA BEBIDA CARBONATADA MANZANA 75045
75050,BASE PARA BEBIDA CARBONATADA NARANJA 75050
75247,BASE PARA BEBIDA CON ADICIÓN DE ELECTROLITOS UVA 75246 - PARTE 2
75799,BASE PARA BEBIDA VOLT RED 75797 - PARTE 3
75844,BASE PARA BEBIDA ISLAND PUNCH C 75842 - PARTE 3
76358,BASE PARA BEBIDA VOLT PINK M 76356 - PARTE 3
76606,BASE PARA BEBIDA CITRUS AURRERA SIN AZÚCAR 76605 - PARTE 2
76607,BASE PARA BEBIDA CITRUS AURRERA SIN AZÚCAR 76605 - PARTE 3
76845,BASE PARA BEBIDA AMAYU GUAYUSA 76843 - PARTE 3
76977,BASE PARA BEBIDA AMAYU CAMU CAMU 76977
76979,BASE PARA BEBIDA AMAYU CAMU CAMU 76977 - PARTE 3
77168,BASE PARA BEBIDA CITRUS PUNCH BC 77167 - PARTE 2
77421,BASE PARA BEBIDA CITRUS PUNCH SIN AZÚCAR C 77420 - PARTE 2
77486,BASE PARA BEBIDA DE MANZANA SIN AZÚCAR C 77485 - PARTE 2
78233,BASE FOR VOLT DARK ENERGY DRINK 78231 - PART 3
78572,BASE PARA BEBIDA CON ADICIÓN DE ELECTROLITOS 3B 78010 - PARTE 3
78787,COMPLEMENTO BASE PARA BEBIDA VOLT BLUE M 77235
300006,JARABE TERMINADO NARANJADA AURRERA
300147,JARABE TERMINADO NARANJADA MAQUILAS NF
300312,JARABE TERMINADO BIG PONCHE LIGHT OCTUBRE 2014
300314,JARABE TERMINADO BIG NARANJA LIGHT OCTUBRE 2014
300512,JARABE VOLT RED
300579,Jarabe Big Cola Red. 15%
300673,Jarabe Terminado Big Cola Zero Rev. 1
300816,JARABE TERMINADO SPORADE COCO
300821,JARABE TERMINADO MY BRAND SABOR TORONJA
300905,JARABE TERMINADO NARANJA JUNIO 2018
301085,JARABE TERMINADO CIFRUT MAX GUAYABA
3000041,JARABE TERMINADO VOLT YELLOW ECONOMICO SIN AZUCAR
3000226,JARABE TERMINADO BARRILITOS TORONJA - MAQUILA
3000237,JARABE TERMINADO BIG TORONJA
300036,JARABE TERMINADO CITRUS JUNIO/2015
3000334,JARABE TERMINADO AMAYU ENERGY GUAYUSA
3000345,JARABE TERMINADO CIFRUT CITRUS PUNCH
3000359,JARABE TERMINADO CIFRUT CITRUS PUNCH SIN AZÚCAR
3000381,JARABE TERMINADO BURST SPORT MORAS - MAQUILA 3B
