cod_articulo_magic,desc_articulo
48959,LAMINA TERMOENCOGIBLE TRANSPARENTE DE 46 CM
48962,LAMINA TERMOENCOGIBLE TRANSPARENTE DE 87 CM PT
49058,ETIQUETA BIG COLA PE BARCELONA 620 ML SALIDA 3 (2013) PT
49074,ETIQUETA BIG SABOR NARANJA 620 ML SALIDA 3 (2013) PT
49080,ETIQUETA BIG SABOR LIMA LIMON 620 ML SALIDA 3 (2013) PT
50640,ETIQUETA BIG COLA NE BARCELONA 2.500 LTS SALIDA 3 PT
51984,LAMINA TERMOENCOGIBLE TRANSPARENTE DE 50 CM (CAL 250)
54346,ETIQUETA BIG AQUA 1.500 LTS 2013 SALIDA 4 PT
599791,FREELIFE MANDARINA - DURAZNO PET NO RETORNABLE 400 ML 12
599792,FREELIFE FRUTOS ROJOS PET NO RETORNABLE 400 ML 12
599835,BIG TORONJA PET NO RETORNABLE 3000 ML 6
599836,BIG COLA PET NO RETORNABLE 300 ML 12
599875,BIG COLA PET NO RETORNABLE 360 ML 12
508476,BIG AQUA AGUA SIN GAS PET NO RETORNABLE 1000 ML 48 PACK
508717,AJE AQUA AGUA GASIFICADA PET NO RETORNABLE 2250 ML 6 PACK
509913,BIG CIFRUT 1.000 LT X 12
510054,CIFRUT MAX GUAYABA REGULAR PET NO RETORNABLE 400 ML 12
54378,ETIQUETA AJE AQUA 1.000 LTS $6.00 SAL 3 (2014) PT
54589,ETIQUETA AJE AQUA 1.500 LTS $8.00 SAL 4 (2014) PT
55269,ETIQUETA ECONOMAX COLA 3.000 LTS SAL 3 (2014) PT
55609,ETIQUETA BIG CITRUS PUNCH VERDE DY 2.000 LTS SAL 3 (2014) (2) PT
56271,ETIQUETA BIG SABOR NARANJA 3.030 LTS $15.00 SAL 3 (2014) (2) PT
56508,ETIQUETA BIG CITRUS PUNCH VERDE 2.000 LTS SAL 4 (2014) (3) PT
56516,ETIQUETA AURRERA TORONJA 3.000  LTS SAL 3 (2014) (2) PT
56865,PREFORMA DE 19 GRS CRISTAL PARA AGUA
511167,BIG NARANJA PET NO RETORNABLE 2250 ML 6 PACK
515614,SPORADE NARANJA PET NO RETORNABLE 625 ML 6
517126,VOLT FANTASY LATA 473 ML 6 PACK
517164,VOLT PLUS MORA 355ML 15
517206,VOLT BLUE LATA 473 ML 12 PACK
517233,VOLT BLUE PET NO RETORNABLE 400 ML 12 PACK
517262,VOLT MORA REGULAR LATA 473 ML 15
518350,VOLT AGAVE LATA 237 ML 15 PACK
518500,CIFRUT 999ML NARANJA MANDARINA LIMON 12PACK
57271,ETIQUETA BIG COLA 3.300 LTS $20.00 SAL 3 (2014) PT
57289,ETIQUETA BIG SABOR NARANJA 3.030 LTS $15.00 SAL 3 (2014) (3) PT
59389,ETIQUETA BIG CITRUS NARANJADA 620 ML SAL 3 (2015) PT
60634,PREFORMA DE 18.1 GRS AZUL PARA AGUA (CORVAGLIA)
60786,BOBINA LAMINADA IMPRESA DE 36 CMS BOPP NAT 20 MICRAS/BOPP NAT 20 MICRAS PAPAS ADOBADAS 90 GRS
60788,BOBINA LAMINADA IMPRESA DE 36 CMS BOPP NAT 20 MICRAS/BOPP NAT 20 MICRAS PAPAS SALADAS 90 GRS
60981,ETIQUETA BIG AQUA 1.000 LTS SAL 3 (2015)
518501,BIG CIFRUT  PET NO RETORNABLE 911 LT 12 PACK
519036,"MIX 2 BIG SABORES NAR, MANZANA, PONCHE PET 3300 ML 6 PACK"
519044,CIFRUT SABORES 0.250L MIX-CITRUS-PONCHE-TORONJA
521808,VOLT FRUTOS DEL BOSQUE LATA 473 ML 24
521993,FREELIFE CEREZA LATA 355 ML 12
522198,CHEDRAUI SELECTO AGUA PET NO RETORNABLE 1500 ML 12
522352,VIDA AGUA PET NO RETORNABLE 1000 ML 12
522354,VIDA AGUA PET NO RETORNABLE 300 ML 24
522371,SANGRIA SEÑORIAL UVA PET NO RETORNABLE 2000 ML 6
60983,ETIQUETA BIG AQUA 1.500 LTS SAL 3 (2015)
60984,ETIQUETA BIG AQUA 360 ML SAL 3 (2015)
61813,ETIQUETA BIG COLA 2.500 LTS SAL 3  (2015)
61817,ETIQUETA BIG COLA 500 ML SAL 3 (2015)
61824,ETIQUETA BIG SABOR MANZANA 500 ML SAL 3 (2015)
61825,ETIQUETA VOLT ENEGY 300 ML SAL 3 (2 X 1)
61880,BOBINA IMPRESA Y CORTADA EXTREME SOUR APPLE M4593
62405,BOBINA IMPRESA Y CORTADA 4PC N&L GRAPE M3477
522410,BIO AMAYU ACAI LATA 325 ML 12
522414,KR MANZANA PET NO RETORNABLE 3030 ML 6
522431,VOLT FRUTOS DEL BOSQUE PET NO RETORNABLE 300 ML 12
522487,VOLT FRUTOS DEL BOSQUE LATA 473 ML 15 CON EMPAQUE DE CARTON
522520,CIFRUT MANZANA LATA 473 ML 15
590001,AURRERA AGUA SIN GAS PET NO RETORNABLE 200 ML 24 PACK
590602,AURRERA MANDARINA PET NO RETORNABLE 3300 ML 6 PACK
590709,AURRERA MANZANA PET NO RETORNABLE 3300 ML 6 PACK
591401,AURRERA TUTTI FRUTTI PET NO RETORNABLE 3000 ML 6 PACK
62409,BOBINA IMPRESA Y CORTADA 6PC N&L APPLE M3456
62590,ETIQUETA BIG SABOR PONCHE DE FRUTAS 2.250 LTS SAL 3 (2015)
62607,ETIQUETA BIG SABOR MANZANA 200 ML SAL 3 (2015)
63604,ETIQUETA BIG SABOR MANZANA 2.250 LTS SAL 4 (2015) (2)
63605,ETIQUETA BIG SABOR NARANJA 2.250 LTS SAL 3 (2015) (2)
67236,LAMINA TERMOENCOGIBLE TRANSPARENTE DE 92 CM CAL 260 MP
67459,ETIQUETA BIG SABOR LIMA LIMON  2.250 LTS SAL 3 (2016)
67479,PREFORMA DE 50.3 GRS VERDE PARA LIMON (CORVAGLIA)
591503,BOOST ENERGIZANTE LATA 235 ML 12 PACK
593257,Drank P.E.T. 400 ml x 12 Raspberry Chill
594605,GREAT VALUE AGUA SIN GAS PET NO RETORNABLE 500 ML 12 PACK
599879,"BIG CITRUS NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 500 ML 12"
16141,PREFORMA DE 54 GRS CRISTAL PRODUCTO TERMINADO (INYECCION)
22753,"CAJA PLASTICA CON TAPA  MEDIDAS 45 X 48"" COD.HD454850  (DE USO) P/PREFORMA"
24106,PREFORMA DE 31 GRS VERDE PT (MAQUILA)
24741,PREFORMA DE 21 GRS CRISTAL (MAQUILA)
24899,PREFORMA DE 37/2 CRISTAL PT (MAQUILA)
500289,BIG COLA PET NO RETORNABLE 3000 ML 6 PACK
500354,BIG COLA 0.911ml PET NO RETORNABLE 12 PACK
500385,BIG COLA REGULAR PET NO RETORNABLE 2.250 ML 6 PACK EXPORT/BILINGUE
501634,BIG TORONJA PET NO RETORNABLE 500 ML 12 PACK
501953,BIG MANZANITA PET NO RETORNABLE 360 ML 12 PACK
47877,BIG FRESH MANZANA ROJA 620 ML X 24 EXPORTACION
47941,ETIQUETA MI MARCA COLA 3.000 LTS SIN PRECIO SALIDA 3 PT
48091,MI MARCA SABOR COLA 3.000 LTS X 6 SIN PRECIO
48095,MI MARCA SABOR TORONJA 3.000 LTS X 6 SIN PRECIO
25274,PREFORMA DE 19 GRS CRISTAL PT (MAQUILA) (GEC)
25410,PREFORMA DE 19.25 GRS CRISTAL PT (MAQUILA)
25642,PREFORMA DE 19.43 GRS CRISTAL PT (MAQUILA)
26351,PREFORMA DE 25.20 GRS CRISTAL (MAQUILA)
26854,PREFORMA DE 19.4 GRS CRISTAL PT (MAQUILA)
27299,PREFORMA DE 18.63 GRS CRISTAL (MAQUILA)
27712,PREFORMA DE 18 GRS CRISTAL CON UV PT- INYECCION
28211,PREFORMA DE 18.2 GRS CRISTAL (MAQUILA)
28388,PREFORMA DE 52.15 GRS CRISTAL (MAQUILA)
60968,PREFORMA DE 17.15 GRS CRISTAL  AGUA PT
61336,BOBINA IMPRESA Y CORTADA 4PC CHEWY STRAWBERRY M4347 MP
49267,EXTENDER CLAVE L712-0030 (PRESENTACION 17 KG)
49275,CINTA ROJA DE 2 CM PARA EMPAQUE
49341,TINTA COLOR BLANCO CONGELACION CLAVEL-L-703-0120 (PRESENTACION 20 KG)
49350,BOBINA DE POLIETILENO IMPRESO EMPAQUE INSTITUCIONAL LA HUERTA 2KG. DE 23X7 MP
50082,"BASE DE BEBIDA DE BEBIDA FRESA,GUAVA,MORA BF-MX-130340/1U PT"
60636,PREFORMA DE 31.7 GRS AZUL PARA AGUA (CORVAGLIA) PT
28392,PREFORMA DE 54.5 GRS CRISTAL (MAQUILA)
28425,BIG COUNTRY 1.000 LTS X 36 TETRA PACK EN COMBO DE SABORES (DURAZNO/MANGO)
28551,PREFORMA DE 24 GRS CRISTAL PT (MAQUILA)
30105,PREFORMA DE 47.45 GRS CRISTAL (IMMEX) PT
30107,PREFORMA DE 47.45 GRS CRISTAL CON UV (IMMEX) PT
30196,PREFORMA DE 61.0 GRS CRISTAL (IMMEX MAQUILA)
30197,PREFORMA DE 61.0 GRS CRISTAL PT (IMMEX MAQUILA)
30261,PREFORMA DE 19.1 GRS CRISTAL PT INYECCION
32429,PREFORMA DE 25.2 GRS CRISTAL AGUA (MAQUILA) MP
61337,BOBINA IMPRESA Y CORTADA 4PC CHEWY  WATERMELON  M4346 MP
61338,BOBINA IMPRESA Y CORTADA 4PC SPLITS LEMON-LIME  M4349 MP
61388,BASE DE BEBIDA CITRUS PUNCH BF-MX-150426/1U
598450,VOLT CAFE 473ML 15PACK 
598803,CIFRUT MAX MANGO PET NO RETORNABLE 400 ML 6
598809,VOLT GUARANA LATA 473 ML 6
598903,VOLT POSEIDON MORA LATA 355 ML 15
599090,FREELIFE WATER LIMON
599126,VOLT BLUEBERRY LATA 473 ML 6 SIN AZUCAR
32430,PREFORMA DE 25.2 GRS CRISTAL AGUA (MAQUILA) PT
32658,PREFORMA DE 24.5 GRS CRISTAL CON UV PT-INYECCION
32962,PREFORMA DE 23.35 GRS VERDE PT (MAQUILA)
33287,PREFORMA DE 50.84 GRS CRISTAL CON UV CUELLO CORTO (MAQUILA) MATERIA PRIMA
33288,PREFORMA DE 50.84 GRS CRISTAL CUELLO CORTO CON UV PT (MAQUILA)
33294,PREFORMA DE 40.8 GRS CRISTAL CON UV MP (MAQUILA)
591802,CASA LEY LIMA LIMON PET NO RETORNABLE 3000 ML 6 PACK
506972,CIFRUT FRESH NARANJADA PET NO RETORNABLE 360 ML 12 PACK
508571,BIG AQUA AGUA SIN GAS PET NO RETORNABLE 620 ML 15 PACK
599191,BIG COLA PET NO RETORNABLE 600 ML 12
599227,VOLT FRUTOS DEL BOSQUE LATA 473 ML 6
599230,CIFRUT UVA PET NO RETORNABLE 911 ML 12
599255,AURRERA TORONJA PET NO RETORNABLE 600 ML 12
599257,AURRERA NARANJA PET NO RETORNABLE 600 ML 12
599502,"CIFRUT NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 500 ML 6"
599506,SPORADE MORA PET NO RETORNABLE 625 ML 6
599583,BIG MANZANA PET NO RETORNABLE 250 ML 24
599585,FIRST MANZANA PET NO RETORNABLE 620 ML 12
508581,BIG AQUA SIN GAS NO RETORNABLE 2250 ML 6 PACK PRECIADO
510053,CIFRUT MAX MANGO REGULAR PET NO RETORNABLE 400 ML 12
511050,CIFRUT PONCHE DE FRUTAS PET NO RETORNABLE 250 ML 24 PACK
511052,CIFRUT PONCHE DE FRUTAS PET NO RETORNABLE 3300 ML 6 PACK
511168,BIG NARANJA PET NO RETORNABLE 3300 ML 6 PACK
511352,CIFRUT TORONJA PET NO RETORNABLE 3300 ML 6 PACK
511902,BIG CIFRUT NARANJA MANDARINA Y LIMON 2250 ML 6 PACK
595805,MI MARCA TORONJA PET NO RETORNABLE 3030 ML 6 PACK
595909,NEW MIX VAMPIRO LATA 473 ML 12 PACK
596206,SANGRIA SEÑORIAL SANGRIA PET NO RETORNABLE 600 ML 24 PACK
597752,BARRILITOS PONCHE PET NO RETORNABLE 750 ML 24 PACK
597754,BARRILITOS POCNHE PET NO RETORNABLE 500 ML 24 PACK
597950,MY BRAND NARANJA PET NO RETORNABLE 3000 ML 6 PACK
598504,VOLT UVA REGULAR LATA 355 ML 15
598808,VOLT MORA LATA 473 ML 6
598937,SPORADE MORA PET NO RETORNABLE 1500 ML 6
598979,SPORADE MIX PET NO RETORNABLE 400 ML 12
598980,SPORADE NARANJA PET NO RETORNABLE 400 ML 12
599100,FREELIFE WATER FRUTOS ROJOS
599127,VOLT GUARANA LATA 473 ML 6 SIN AZUCAR
599134,FREELIFE LIMON LATA 355 ML 6
599268,SANGRIA SEÑORIAL UVA PET NO RETORNABLE 600 ML 12
599477,BARRILITOS TORONJA PET NO RETORNABLE 500 ML 24
599508,BIG COLA PET NO RETORNABLE 911 ML 6
599523,BIG COLA PET NO RETORNABLE 1800 ML 8
599553,"CIFRUT NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 2500 ML 6"
599584,BIG MANZANA PET NO RETORNABLE 3000 ML 6
599591,SPORADE NARANJA PET NO RETORNABLE 1000 ML 6
599595,FIRST NARANJA PET NO RETORNABLE 3000 ML 6
599728,BIG COLA PET NO RETORNABLE 1500 ML 12
599729,BIG COLA PET NO RETORNABLE 911 ML 12
599870,"CIFRUT NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 500 ML 12"
599871,"CIFRUT NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 360 ML 12"
599872,BIG COLA PET NO RETORNABLE 500 ML 12
599908,BIG COLA PET NO RETORNABLE 3300 ML 6
599913,BIG COLA PET NO RETORNABLE 500 ML 12
599914,BIG COLA PET NO RETORNABLE 300 ML 12
699267,SANGRIA SEÑORIAL UVA PET NO RETORNABLE 2000 ML 8 MC
699268,SANGRIA SEÑORIAL UVA PET NO RETORNABLE 600 ML 12 MC
699523,BIG COLA PET NO RETORNABLE 1800 ML 8 MC
7881,PREFORMA DE 38 GR CRISTAL PT-  INYECCION
20035,PREFORMA DE 62 GRS VERDE (IMMEX) PT
21067,PREFORMA DE 60 GRS CRISTAL (IMMEX) PT
22524,PREFORMA DE 20.5 GRS CRISTAL (MAQUILA)
24397,PREFORMA DE 37 GRS VERDE PT (MAQUILA)
25248,PREFORMA DE 23 GRS CRISTAL PT (MAQUILA)
25270,PREFORMA DE 19.5 GRS CRISTAL (MAQUILA)
506943,CIFRUT FRESH LIMONADA PET NO RETORNABLE 1000 ML 12 PACK
508453,BIG AQUA AGUA SIN GAS PET NO RETORNABLE 620 ML 24 PACK
508596,AJE AQUA AGUA SIN GAS PET NO RETORNABLE 360 ML 24 PACK
509826,CIFRUT .625ML NARANJA MANDARINA LIMON PET NO RETORNABLE 12PACK
510055,CIFRUT MAX MANGO - GUAYABA REGULAR PET NO RETORNABLE 400 ML 12
511350,CIFRUT TORONJA PET NO RETORNABLE 250 ML 24 PACK
511914,BIG CIFRUT  PET NO RETORNABLE 500 LT 12 PACK
512433,COOL TEA NEGRO LIMON PET NO RETORNABLE 400 ML 6 PACK
513214,COOL TEA TÉ NEGRO FRUTOS ROJOS 2500ML 6 PACK
517105,VOLT FANTASY PET NO RETORNABLE 300 ML 12 PACK
517119,VOLT FANTASY LATA 473 ML 12 PACK
517131,VOLT YELLOW PET 400 ML 12 PACK
517138,VOLT FANTASY LATA 473 ML 15 PACK TERMODECORADO
517160,VOLT FANTASY LATA 473 ML 15 PACK EXPORT/BILIGUE
517190,VOLT FANTASY LIGHT LATA 473 ML 12 PACK
517298,VOLT LATA RED 237 X 15 PACK
518353,VOLT AGAVE LATA 473 ML 15 PACK
519040,BIG SABORES 0.500L MIX-NARANJA-MANZANITA-TORONJA
519856,BIG COLA LATA 473 ML 12
522023,VOLT GUARANA LATA 473 ML 15 EXPORTACION
522300,SANGRIA SEÑORIAL UVA PET NO RETORNABLE 355 ML 12
522351,VIDA AGUA PET NO RETORNABLE 1500 ML 12
522409,BIO AMAYU AGUAJE LATA 325 ML 12
522492,KR MANZANA PET NO RETORNABLE 300 ML 12
590711,AURRERA MANZANA PET NO RETORNABLE 3000 ML 6 PACK
590904,AURRERA NARANJA PET NO RETORNABLE 3000 ML 6 PACK
591504,BOOST ENERGIZANTE MANGO MARACUYA LATA 235 ML 24 PACK
593256,Drank P.E.T. 400 ml x 12 Sour Freeze
595704,MI MARCA NARANJA PET NO RETORNABLE 3030 ML 6 PACK
596205,SANGRIA SEÑORIAL SANGRIA PET NO RETORNABLE 2600 ML 6 PACK
596951,URAKAN CITRIX LATA 473 ML 24 PACK
597101,SUPER VALUE LIMA LIMON PET NO RETORNABLE 3000 ML 6 PACK
597430,BUXTÓN AGUA SIN GAS PET NO RETORNABLE 620 ML 12 PACK
598451,VOLT CAFE 473ML 6PACK 
508488,BIG AQUA AGUA SIN GAS PET NO RETORNABLE 1500 ML 12 PACK
508591,AJE AQUA AGUA SIN GAS PET NO RETORNABLE 620 ML 12 PACK
509507,BIG CIFRUT NARANJA MANDARINA Y LIMON PET NO RETORNABLE 250 ML 24
509557,BIG CIFRUT NARANJA MANDARINA Y LIMON PET NO RETORNABLE 2600 ML 6
509599," CIFRUT NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 360 ML 12 PACK AUTOSERVICIOS"
515712,SPORADE LIMA LIMON PET NO RETORNABLE 400 ML 6 PACK
516207,SPORADE PONCHE DE FRUTAS PET NO RETORNABLE 1500 ML 6 PACK
516250,SPORADE COCO PET NO RETORNABLE 620 ML 6 PACK
517145,VOLT YELLOW LATA 473 ML 6
517146,VOLT GUARANA REGULAR PET NO RETORNABLE 400 ML 12
517155,VOLT FANTASY LATA 237 ML 15 PACK
517156,VOLT FANTASY LATA 473 ML 15 PACK
517265,VOLT MORA REGULAR LATA 355 ML 15
519042,CIFRUT SABORES 3.300L MIX-CITRUS-PONCHE-TORONJA 
521715,CIFRUT UVA PET NO RETORNABLE 300 ML 24
521717,BIG COLA PET NO RETORNABLE 300 ML 24
522295,SANGRIA SEÑORIAL UVA LATA 355 ML 12
522355,VIDA AGUA PET NO RETORNABLE 3000 ML 6
522374,VOLT UVA PET NO RETORNABLE 400 ML 12
522480,SPORADE TROPICAL PET NO RETORNABLE 500 ML 12
522488,CIFRUT MANZANA LATA 473 ML 12
522490,AMAYU GUAYUSA LATA 473 ML 12
522491,AMAYU CAMU CAMU LATA 473 ML 12
522512,VOLT PONCHE DE FRUTA LATA 473 ML 12
590401,AURRERA COLA LIGHT PET NO RETORNABLE 3000 ML 6 PACK
595601,MI MARCA MANZANA ROJA PET NO RETORNABLE 3030 ML 6 PACK
595901,NEW MIX PALOMA LATA 473 ML 24 PACK
595908,NEW MIX MARGARITA LATA 350 ML 24 PACK CON CHAROLA
596202,SANGRIA SEÑORIAL SANGRIA LATA 355 ML 24 PACK
596953,URAKAN CITRIX LATA 473 ML 12 PACK
597753,BARRILITOS PONCHE PET NO RETORNABLE 2 LTS 8 PACK
597925,MY BRAND MANZANA PET NO RETORNABLE 3000 ML 6 PACK
50361,BASE DE BEBIDA SABOR UVA BU-MX-039/4U PT
513207,COOL TEA TÉ NEGRO FRUTOS ROJOS 1000 ML 12 PACK
513213,COOL TEA NEGRO FRUTOS ROJOS PET NO RETORNABLE 400 ML 6 PACK
516251,SPORADE COCO PET NO RETORNABLE 1500 ML 6 PACK
53253,PREFORMA DE 21.3 GRS CRISTAL (MAQUILA) PT
53516,BASE DE BEBIDA GASIFICADA BIG FRESH FRESA  BG-MX-49/4U PT
53846,EXHIBIDOR COLOR ROJO 4 NIVELES SUPER CITY PT
53931,TARIMA DE MADERA (VERDE) INYECCION 1.20 X1.0 MTS PT
54121,PREFORMA DE 54 GRS UV CUELLO CORTO PT
54145,ENVASE DE LATA DE ALUMINIO DE  BOOST REGULAR FUTBOL 0.355 LTS
517139,VOLT FANTASY LATA 473 ML 8 PACK
517148,VOLT GUARANA REGULAR LATA 355 ML 15
25389,PREFORMA DE 20.2 GRS CRISTAL PT (MAQUILA)
26243,PREFORMA DE 43 GRS CRISTAL PT (MAQUILA)
26853,PREFORMA DE 19.4 GRS CRISTAL (MAQUILA)
27711,PREFORMA DE 18 GRS CRISTAL CON UV PT- INYECCION UND CAJ X PREFORMA (14040)
51762,TAPA PLASTICA MORADA CORVAGLIA GRABADO AJE PT
52505,BASE DE BEBIDA LIMA LIMON AURRERA BG-MX-043/2U PT
52622,CHAROLA BOOST 24/235 ML 22669A
598800,VOLT CAFE LATA 355 ML 6
598830,VOLT ZEUS PLUS GUARANA LATA 473 ML 15
599097,BIG PONCHE PET NO RETORNABLE 2250 ML 6 pack EXPORT/BILINGUE
599201,SANGRIA SEÑORIAL UVA SIN AZUCAR PET 600ML 24 PACK
599409,SANGRIA SEÑORIAL MANZANITA PET NO RETORNABLE 600 ML 24
599500,"CIFRUT NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 1500 ML 6"
599507,BIG COLA PET NO RETORNABLE 1500 ML 6
599581,BIG NARANJA PET NO RETORNABLE 250 ML 24
599780,SPORADE UVA PET NO RETORNABLE  SPORTCAP 1000 ML 6
599785,SPORADE NARANJA PET NO RETORNABLE  SPORTCAP 625 ML 6
599873,BIG COLA PET NO RETORNABLE 360 ML 12
593254,Drank P.E.T. 400 ml x 12 Classic
595404,MI MARCA LIMA LIMON PET NO RETORNABLE 3030 ML 6 PACK
595904,NEW MIX VAMPIRO LATA 350 ML 24 PACK S/CHAROLA
596952,URAKAN CITRIX LATA 355 ML 24 PACK
597501,REFRESCOCO LATA 355 ML 12 PACK ED
597705,BARRILITOS DURAZNO PET NO RETORNABLE 750 ML 24 PACK
597730,BARRILITOS PINA PET NO RETORNABLE 750 ML 24 PACK
597780,BARRILITOS MANZANA PET NO RETORNABLE 750 ML 24 PACK
597975,MY BRAND TORONJA PET NO RETORNABLE 3000 ML 6 PACK
598802,CIFRUT MAX GUAYABA PET NO RETORNABLE 400 ML 6
598829,VOLT POSEIDON PLUS MORA LATA 473 ML 15
598892,DELI BY SHELL AGUA PET NO RETORNABLE 1000 ML 12
61341,BOBINA IMPRESA Y CORTADA 4PC N&L BANANA M3481 MP
53540,BASE DE BEBIDA GASIFICADA BIG FRESH MANDARINA BG-MX-050/2U PT
54089,PREFORMA DE 31.7 GRS CUELLO CORTO UV PT
54249,CHAROLA DE CARTON BOOST MANGO MARACUYA 355 SLEEK /24 PIEZAS
53085,PREFORMA DE 21.3 GRS CRISTAL AGUA MAQUILA PT
61872,BOBINA IMPRESA Y CORTADA 4P MENTA NACIONAL M0560 MP
62324,BOBINA IMPRESA Y CORTADA 6PC N&L CHERRY M3451  MP
62328,BOBINA IMPRESA Y CORTADA 6PC CHEWY BANANA M4322 MP
62403,BOBINA IMPRESA Y CORTADA 6PC N&L PINNEAPPLE M3454 MP
62675,TAPA PLASTICA VERDE CITRUS (CUELLO 1881) PT
39665,BIG CITRUS PUNCH 3.300 LTS X 12 / T. BLANCA ALTA / ECONORED / CON PRECIO $ 15.00
39771,BIG CITRUS PUNCH 0.300 LTS X 96 / SLIP SHEET / ECONORED / CON PRECIO $ 2.50
39801,TAPA PLASTICA VERDE CORTA GENERICA 2.32 GRS AJEMEX PRODUCTO TERMINADO
599594,FIRST MANZANA PET NO RETORNABLE 3000 ML 6
599649,GREAT VALUE PEPINO-LIMON PET NO RETORNABLE 1000 ML 12
517207,VOLT BLUE PET 300 ML 12 PACK
517210,VOLT GREEN LATA 473 ML 6 PACK
517243,VOLT BLUE LATA 473 ML 15 PACK
518107,VOLT GUARANA REGULAR LATA 355 ML 15
518351,VOLT AGAVE PET NO RETORNABLE 400 ML 12 PACK
518416,BIG NARANJA PET NO RETORNABLE 3.300 ml 6 pack EXPORT/BILINGUE
519852,VOLT MORA REGULAR LATA 355 ML 15
521932,"AURRERA NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 600 ML 12"
521933,"AURRERA NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 3000 ML 6"
522210,VOLT BLUEBERRY LATA 473 ML 24
522268,AURRERA TORONJA PET NO RETORNABLE 300 ML 12
522270,"CIFRUT NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 300 ML 6"
522372,SANGRIA SEÑORIAL UVA PET NO RETORNABLE 600 ML 12
522408,BIO AMAYU CAMU CAMU LATA 325 ML 12
522489,AMAYU MACA LATA 473 ML 12
61877,BOBINA IMPRESA Y CORTADA 4P MORA AZUL NACIONAL M0565 MP
61878,BOBINA IMPRESA Y CORTADA BOPP QUESO LEY 10 REB MP
62185,BASE DE BEBIDA FRUIT PUNCH  BF-MX-150432
34776,PREFORMA DE 58 GRS CRISTAL (5504 PZAS) PT INYECCION
35165,PREFORMA DE 20.6 GRS CRISTAL (MAQUILA POLYCOM) MATERIA PRIMA
35413,PREFORMA DE 60 GRS CRISTAL (MAQUILA KIMEX) MATERIA PRIMA
62179,BASE DE BEBIDA GASIFICADA FRESA  BG-MX-150429
62375,BOBINA IMPRESA Y CORTADA 4PC N&L APPLE M3478 MP
62701,BOBINA IMPRESA Y CORTADA LOTE Y FECHA DE CADUCIDAD  MP
28358,PREFORMA DE 52 GRS CRISTAL (MAQUILA)
28359,PREFORMA DE 52 GRS CRISTAL PT (MAQUILA)
28361,PREFORMA DE 54.95 GRS CRISTAL PT (MAQUILA)
28387,PREFORMA DE 54.35 GRS CRISTAL PT (MAQUILA)
28391,PREFORMA DE 58.15 GRS CRISTAL PT (MAQUILA)
28590,PREFORMA DE 21 GRS CRISTAL PT-INYECCION
29058,PREFORMA DE 43 GRS CRISTAL CON UV PT-INYECCION
30195,PREFORMA DE 60.6 GRS CRISTAL PT (IMMEX MAQUILA)
31207,PREFORMA DE 32 GRS CRISTAL MP (MAQUILA)
31208,PREFORMA DE 32 GRS CRISTAL PT (MAQUILA)
61339,BOBINA IMPRESA Y CORTADA 4PC SPLITS LEMON-STRAWBERRY  M4350 MP
61340,BOBINA IMPRESA Y CORTADA 4PC SPLITS LEMON-BLUERASPBERRY  M4348 MP
599907,BIG COLA PET NO RETORNABLE 2250 ML 6
599915,BIG COLA PET NO RETORNABLE 250 ML 24
7184,PREFORMA DE 62 GR CRISTAL PT - INYECCION
14776,PREFORMA DE 43 GR CRISTAL PT - INYECCION
16142,PREFORMA DE 54 GR VERDE  PT -  INYECCION
20034,PREFORMA DE 62 GRS CRISTAL (IMMEX) PT
20037,PREFORMA DE 25 GRS VERDE (IMMEX) PT
20926,PREFORMA DE 43 GRS VERDE PT-INYECCION
20927,PREFORMA DE 58 GRS VERDE PT-INYECCION
21272,PREFORMA DE 43 GRS CRISTAL (IMMEX) PT
25411,PREFORMA DE 21.10 GRS CRISTAL PT (MAQUILA)
25478,PREFORMA DE 23.6 GRS CRISTAL PT (MAQUILA)
61379,BASE DE BEBIDA REHIDRATANTE LIMA LIMON BR-MX-150416/1U  PT
599110,VOLT GUARANA LATA 473 ML 12
599111,VOLT MORA LATA 473 ML 12
599152,FREELIFE TORONJA LATA 355 ML 12
599188,BIG COLA PET NO RETORNABLE 1000 ML 12
599212,VOLT BLUEBERRY PET NO RETORNABLE 600 ML 12
599229,CIFRUT MANGO PET NO RETORNABLE 911 ML 12
599579,URAKAN CITRIX LATA 355 ML 12
599587,SPORADE MORA PET NO RETORNABLE 1000 ML 6
599783,SPORADE MORA PET NO RETORNABLE  SPORTCAP 1000 ML 6
599874,BIG COLA PET NO RETORNABLE 2250 ML 6
599930,BIG NARANJA PET NO RETORNABLE 600 ML 12
599931,BIG MANZANA PET NO RETORNABLE 600 ML 12
599966,"CIFRUT NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 1000 ML 12"
14591,PREFORMA DE 47 GR CRISTAL  PT -  INYECCION
599738,SPORADE NARANJA PET NO RETORNABLE 625 ML 24 EXPORT
