id_cliente;cod_articulo_magic
0030|1551337;522355
0030|1549705;522354
0030|1783386;599228
0030|1551548;517263
0030|1549701;599228
0030|1551539;599212
0030|1549711;800069
0030|1551304;500354
0030|1627664;522632
0030|1549943;517140
0030|1549718;599212
0030|1796574;599587
0030|1549952;523439
0030|1549735;517263
0030|1550083;522354
0030|1705570;522632
0030|1549722;516209
0030|1625338;599212
0030|1551546;800058
0030|1628873;509826
0030|1550076;599590
0030|1549729;517262
0030|1551314;516209
0030|1551544;598901
0030|1551554;509826
0030|1549730;517297
0030|1551545;522354
0030|1551550;523438
0030|1590572;522442
0030|1549984;599228
0030|1549727;517146
0030|1551557;599228
0030|1551337;523438
0030|1549705;599228
0030|1783386;517263
0030|1551548;599218
0030|1549701;523595
0030|1551539;522352
0030|1549711;522856
0030|1551304;522354
0030|1627664;599111
0030|1549943;522352
0030|1549718;522795
0030|1796574;599590
0030|1549952;500354
0030|1549735;517146
0030|1550083;500330
0030|1705570;523438
0030|1549722;522632
0030|1625338;599590
0030|1551546;522713
0030|1628873;522795
0030|1550076;599587
0030|1549729;598801
0030|1551314;599212
0030|1551544;515614
0030|1551554;500354
0030|1549730;599876
0030|1551545;599218
0030|1551550;509826
0030|1590572;800058
0030|1549984;599212
0030|1549727;599876
0030|1551557;523595
0030|1551337;523463
0030|1549705;523595
0030|1783386;522353
0030|1551548;523463
0030|1549701;598901
0030|1551539;522355
0030|1549711;522442
0030|1551304;599111
0030|1627664;517262
0030|1549943;517263
0030|1549718;522352
0030|1796574;599876
0030|1549952;500330
0030|1549735;599837
0030|1550083;523595
0030|1705570;599111
0030|1549722;522355
0030|1625338;599587
0030|1551546;599218
0030|1628873;523595
0030|1550076;500330
0030|1549729;516209
0030|1551314;599228
0030|1551544;599565
0030|1551554;599228
0030|1549730;599111
0030|1551545;598901
0030|1551550;522353
0030|1590572;598801
0030|1549984;500354
0030|1549727;599228
0030|1551557;598901
0030|1551337;599218
0030|1549705;598901
0030|1783386;599590
0030|1551548;500354
0030|1549701;522352
0030|1551539;598801
0030|1549711;523463
0030|1551304;599228
0030|1627664;500264
0030|1549943;517297
0030|1549718;599837
0030|1796574;598901
0030|1549952;599876
0030|1549735;599111
0030|1550083;800058
0030|1705570;522634
0030|1549722;800060
0030|1625338;517263
0030|1551546;599212
0030|1628873;522353
0030|1550076;517140
0030|1549729;515614
0030|1551314;523439
0030|1551544;523438
0030|1551554;517263
0030|1549730;599212
0030|1551545;522352
0030|1551550;523538
0030|1590572;516209
0030|1549984;522632
0030|1549727;522354
0030|1551557;522352
0030|1551337;800054
0030|1549705;522352
0030|1783386;599587
0030|1551548;522442
0030|1549701;599837
0030|1551539;516209
0030|1549711;523595
0030|1551304;522512
0030|1627664;522634
0030|1549943;522795
0030|1549718;599111
0030|1796574;522634
0030|1549952;800054
0030|1549735;522354
0030|1550083;517297
0030|1705570;622631
0030|1549722;522634
0030|1625338;522355
0030|1551546;522795
0030|1628873;523463
0030|1550076;500264
