Pais,Compania,Sucursal,Cliente,Modulo,Producto,Cajas,Unidades,Fecha
MX,0030,84,1591425,11584,517263,1,0,2026-01-08
MX,0030,84,1591974,11554,522713,1,0,2026-01-08
MX,0030,84,1592447,11584,517263,1,0,2026-01-08
MX,0030,84,1592938,11554,517262,1,0,2026-01-08
MX,0030,84,1593406,11554,598901,1,0,2026-01-08
MX,0030,84,1593406,11554,599590,1,0,2026-01-08
MX,0030,84,1595713,11554,517262,1,0,2026-01-08
MX,0030,84,1597976,11554,517262,1,0,2026-01-08
MX,0030,84,1598204,11554,517262,1,0,2026-01-08
MX,0030,84,1598204,11554,800058,1,0,2026-01-08
MX,0030,84,1598352,11554,522713,1,0,2026-01-08
MX,0030,84,1598810,11554,517262,1,0,2026-01-08
MX,0030,84,1598821,11554,517262,1,0,2026-01-08
MX,0030,84,1599004,11554,522713,1,0,2026-01-08
MX,0030,84,1599004,11554,599590,1,0,2026-01-08
MX,0030,84,1599004,11554,800058,1,0,2026-01-08
MX,0030,84,1599250,11554,522713,1,0,2026-01-08
MX,0030,84,1599305,11554,522713,1,0,2026-01-08
MX,0030,84,1599677,11584,517263,1,0,2026-01-08
MX,0030,84,1599677,11584,522634,1,0,2026-01-08
MX,0030,84,1599751,11554,517262,1,0,2026-01-08
MX,0030,84,1600690,11584,517146,1,0,2026-01-08
MX,0030,84,1600946,11554,517262,1,0,2026-01-08
MX,0030,84,1602619,11584,517263,1,0,2026-01-08
MX,0030,84,1603621,11554,517262,1,0,2026-01-08
MX,0030,84,1603667,11554,517262,1,0,2026-01-08
MX,0030,84,1604070,11584,517263,1,0,2026-01-08
MX,0030,84,1604625,11554,522713,1,0,2026-01-08
MX,0030,84,1604755,11554,517262,1,0,2026-01-08
MX,0030,84,1604790,11554,517262,1,0,2026-01-08
MX,0030,84,1604891,11554,517262,1,0,2026-01-08
MX,0030,84,1604891,11554,598901,1,0,2026-01-08
MX,0030,84,1605012,11584,517263,1,0,2026-01-08
MX,0030,84,1605012,11584,76643,1,0,2026-01-08
MX,0030,84,1605768,11584,517146,1,0,2026-01-08
MX,0030,84,1605768,11584,76643,1,0,2026-01-08
MX,0030,84,1626292,11584,517263,1,0,2026-01-08
MX,0030,84,1630639,11584,517263,1,0,2026-01-08
MX,0030,84,1630640,11584,517263,1,0,2026-01-08
MX,0030,84,1630640,11584,76643,1,0,2026-01-08
MX,0030,84,1630642,11584,517263,1,0,2026-01-08
MX,0030,84,1630649,11584,517263,1,0,2026-01-08
MX,0030,84,1632426,11584,517146,1,0,2026-01-08
MX,0030,84,1662105,11554,517262,1,0,2026-01-08
MX,0030,84,1662115,11554,517262,1,0,2026-01-08
MX,0030,84,1666969,11584,517263,1,0,2026-01-08
MX,0030,84,1682959,11554,517262,1,0,2026-01-08
MX,0030,84,1684861,11584,517263,1,0,2026-01-08
MX,0030,84,1702637,11554,517262,1,0,2026-01-08
MX,0030,84,1702639,11554,517262,1,0,2026-01-08
MX,0030,84,1702639,11554,800058,1,0,2026-01-08
MX,0030,84,1702640,11554,599590,1,0,2026-01-08
MX,0030,84,1708444,11554,523278,1,0,2026-01-08
MX,0030,84,1723621,11584,76643,1,0,2026-01-08
MX,0030,84,1723627,11554,517262,1,0,2026-01-08
MX,0030,84,1723792,11584,517263,1,0,2026-01-08
MX,0030,84,1723792,11584,522634,1,0,2026-01-08
MX,0030,84,1727376,11584,517146,1,0,2026-01-08
MX,0030,84,1736680,11554,800058,1,0,2026-01-08
MX,0030,84,1751895,11554,517262,1,0,2026-01-08
MX,0030,84,1751896,11554,517262,1,0,2026-01-08
MX,0030,84,1753265,11554,517262,1,0,2026-01-08
MX,0030,84,1753265,11554,800058,1,0,2026-01-08
MX,0030,84,1812582,11554,517262,1,0,2026-01-08
MX,0030,84,1813605,11554,517262,1,0,2026-01-08
MX,0030,84,1820958,11554,522713,1,0,2026-01-08
MX,0030,84,1825576,11584,517263,1,0,2026-01-08
MX,0030,84,1827256,11554,517262,1,0,2026-01-08
MX,0030,84,1827257,11554,800058,1,0,2026-01-08
MX,0030,84,1827387,11554,517262,1,0,2026-01-08
MX,0030,84,1828141,11554,517262,1,0,2026-01-08
MX,0030,84,1828141,11554,598901,1,0,2026-01-08
MX,0030,84,1828141,11554,599590,1,0,2026-01-08
MX,0030,84,1829800,11554,522713,1,0,2026-01-08
MX,0030,84,1829800,11554,800058,1,0,2026-01-08
MX,0030,84,1832569,11554,517262,1,0,2026-01-08
MX,0030,84,1832569,11554,599590,1,0,2026-01-08
MX,0030,84,1832569,11554,622631,1,0,2026-01-08
MX,0030,84,1837238,11554,517262,1,0,2026-01-08
MX,0030,84,1845211,11554,517262,1,0,2026-01-08
