Pais,Compania,Sucursal,Cliente,Modulo,Producto,Cajas,Unidades,Fecha
MX,0030,84,1514907,11583,500354,1,0,2026-02-18
MX,0030,84,1514907,11583,800058,1,0,2026-02-18
MX,0030,112,1545369,10653,509826,1,0,2026-02-18
MX,0030,112,1545386,10653,517262,1,0,2026-02-18
MX,0030,112,1545435,10653,517140,1,0,2026-02-18
MX,0030,112,1545466,10653,599212,1,0,2026-02-18
MX,0030,112,1545470,10653,517140,1,0,2026-02-18
MX,0030,112,1547118,10653,599228,1,0,2026-02-18
MX,0030,112,1547125,10653,522512,1,0,2026-02-18
MX,0030,112,1547957,10653,522713,1,0,2026-02-18
MX,0030,112,1548394,10653,599228,1,0,2026-02-18
MX,0030,112,1548394,10653,598901,1,0,2026-02-18
MX,0030,112,1548409,10653,522713,1,0,2026-02-18
MX,0030,112,1548411,10653,517262,1,0,2026-02-18
MX,0030,112,1548563,10653,599212,1,0,2026-02-18
MX,0030,112,1555787,10653,517262,1,0,2026-02-18
MX,0030,112,1555787,10653,598901,1,0,2026-02-18
MX,0030,112,1555802,10653,517262,1,0,2026-02-18
MX,0030,112,1555804,10653,517140,1,0,2026-02-18
MX,0030,112,1555813,10653,522713,1,0,2026-02-18
MX,0030,84,1587626,11583,76643,1,0,2026-02-18
MX,0030,112,1588818,10653,598901,1,0,2026-02-18
MX,0030,112,1588829,10653,522713,1,0,2026-02-18
MX,0030,112,1588830,10653,517262,1,0,2026-02-18
MX,0030,112,1588833,10653,598901,1,0,2026-02-18
MX,0030,112,1588838,10653,522713,1,0,2026-02-18
MX,0030,112,1588844,10653,517146,1,0,2026-02-18
MX,0030,112,1588845,10653,522713,1,0,2026-02-18
MX,0030,112,1588850,10653,517140,1,0,2026-02-18
MX,0030,112,1588851,10653,599228,1,0,2026-02-18
MX,0030,112,1588854,10653,599228,1,0,2026-02-18
MX,0030,112,1588861,10653,522512,1,0,2026-02-18
MX,0030,112,1588861,10653,500354,1,0,2026-02-18
MX,0030,112,1588996,10653,522713,1,0,2026-02-18
MX,0030,112,1589041,10653,599228,1,0,2026-02-18
MX,0030,112,1589042,10653,599212,1,0,2026-02-18
MX,0030,112,1589043,10653,599228,1,0,2026-02-18
MX,0030,84,1591854,11583,522512,1,0,2026-02-18
MX,0030,84,1591854,11583,598901,1,0,2026-02-18
MX,0030,84,1591950,11553,800060,1,0,2026-02-18
MX,0030,84,1593542,11553,517140,1,0,2026-02-18
MX,0030,84,1593798,11553,517262,1,0,2026-02-18
MX,0030,84,1593798,11553,598901,1,0,2026-02-18
MX,0030,84,1593932,11553,522713,1,0,2026-02-18
MX,0030,84,1594702,11553,599228,1,0,2026-02-18
MX,0030,84,1594702,11553,800054,1,0,2026-02-18
MX,0030,84,1594939,11583,509826,1,0,2026-02-18
MX,0030,84,1595061,11553,517263,1,0,2026-02-18
MX,0030,84,1595246,11553,517262,1,0,2026-02-18
MX,0030,84,1595801,11583,522713,1,0,2026-02-18
MX,0030,84,1595860,11553,598901,1,0,2026-02-18
MX,0030,84,1596189,11583,517140,1,0,2026-02-18
MX,0030,84,1596694,11583,509826,1,0,2026-02-18
MX,0030,84,1596760,11583,76643,1,0,2026-02-18
MX,0030,84,1596760,11583,598901,1,0,2026-02-18
MX,0030,84,1597061,11583,598901,1,0,2026-02-18
MX,0030,84,1597251,11583,800060,1,0,2026-02-18
MX,0030,84,1597941,11553,517262,1,0,2026-02-18
MX,0030,84,1598314,11583,517262,1,0,2026-02-18
MX,0030,84,1598315,11583,522713,1,0,2026-02-18
MX,0030,84,1598353,11553,800060,1,0,2026-02-18
MX,0030,84,1598731,11553,517262,1,0,2026-02-18
MX,0030,84,1599083,11583,517262,1,0,2026-02-18
MX,0030,84,1599109,11583,517262,1,0,2026-02-18
MX,0030,84,1599166,11583,522713,1,0,2026-02-18
MX,0030,84,1599452,11583,599228,1,0,2026-02-18
MX,0030,84,1599986,11553,517262,1,0,2026-02-18
MX,0030,84,1600024,11583,500354,1,0,2026-02-18
MX,0030,84,1600432,11553,522713,1,0,2026-02-18
MX,0030,84,1600732,11583,517140,1,0,2026-02-18
MX,0030,84,1600850,11583,517140,1,0,2026-02-18
MX,0030,84,1601023,11553,522713,1,0,2026-02-18
MX,0030,84,1601113,11583,800060,1,0,2026-02-18
MX,0030,84,1601361,11583,517140,1,0,2026-02-18
MX,0030,84,1601527,11583,522713,1,0,2026-02-18
MX,0030,84,1602089,11553,517263,1,0,2026-02-18
MX,0030,84,1602089,11553,516209,1,0,2026-02-18
MX,0030,84,1602149,11553,517140,1,0,2026-02-18
MX,0030,84,1602237,11583,517262,1,0,2026-02-18
MX,0030,84,1602539,11553,800060,1,0,2026-02-18
MX,0030,84,1602638,11583,800060,1,0,2026-02-18
MX,0030,84,1602671,11583,522512,1,0,2026-02-18
MX,0030,84,1602747,11553,800060,1,0,2026-02-18
MX,0030,84,1602945,11583,522713,1,0,2026-02-18
MX,0030,84,1603049,11553,599228,1,0,2026-02-18
MX,0030,84,1603898,11583,522713,1,0,2026-02-18
MX,0030,84,1604277,11583,522713,1,0,2026-02-18
MX,0030,84,1604277,11583,500354,1,0,2026-02-18
MX,0030,84,1604467,11553,517140,1,0,2026-02-18
MX,0030,84,1604528,11583,522512,1,0,2026-02-18
MX,0030,84,1604538,11553,517140,1,0,2026-02-18
MX,0030,84,1604604,11553,598901,1,0,2026-02-18
MX,0030,84,1604709,11553,517262,1,0,2026-02-18
MX,0030,84,1604785,11583,599228,1,0,2026-02-18
MX,0030,84,1604883,11583,599228,1,0,2026-02-18
MX,0030,84,1605008,11553,517263,1,0,2026-02-18
MX,0030,84,1605036,11583,599228,1,0,2026-02-18
MX,0030,84,1605140,11553,517262,1,0,2026-02-18
MX,0030,84,1605399,11553,517140,1,0,2026-02-18
MX,0030,84,1605546,11553,517262,1,0,2026-02-18
MX,0030,84,1605770,11583,599228,1,0,2026-02-18
MX,0030,112,1625291,10653,517263,1,0,2026-02-18
MX,0030,112,1627805,10653,517262,1,0,2026-02-18
MX,0030,84,1630071,11583,517262,1,0,2026-02-18
MX,0030,112,1631547,10653,522713,1,0,2026-02-18
MX,0030,112,1631550,10653,517140,1,0,2026-02-18
MX,0030,84,1631671,11553,517262,1,0,2026-02-18
MX,0030,112,1631814,10653,522713,1,0,2026-02-18
MX,0030,84,1631824,11583,522512,1,0,2026-02-18
MX,0030,112,1632686,10653,517140,1,0,2026-02-18
MX,0030,112,1632688,10653,522713,1,0,2026-02-18
MX,0030,112,1632748,10653,517140,1,0,2026-02-18
MX,0030,84,1639179,11583,522713,1,0,2026-02-18
MX,0030,84,1639179,11583,516209,1,0,2026-02-18
MX,0030,84,1639180,11583,598901,1,0,2026-02-18
MX,0030,84,1653642,11553,517140,1,0,2026-02-18
MX,0030,112,1660508,10653,522512,1,0,2026-02-18
MX,0030,112,1660509,10653,599212,1,0,2026-02-18
MX,0030,112,1660510,10653,599228,1,0,2026-02-18
MX,0030,112,1660510,10653,500354,1,0,2026-02-18
MX,0030,84,1667273,11583,522512,1,0,2026-02-18
MX,0030,84,1668583,11583,517262,1,0,2026-02-18
MX,0030,112,1684165,10653,517262,1,0,2026-02-18
MX,0030,112,1684167,10653,517140,1,0,2026-02-18
MX,0030,84,1703690,11553,522713,1,0,2026-02-18
MX,0030,84,1703691,11553,599228,1,0,2026-02-18
MX,0030,84,1708422,11583,800054,1,0,2026-02-18
MX,0030,84,1722074,11583,517263,1,0,2026-02-18
MX,0030,84,1722180,11553,522713,1,0,2026-02-18
MX,0030,84,1722181,11553,522512,1,0,2026-02-18
MX,0030,84,1722182,11553,517263,1,0,2026-02-18
MX,0030,84,1722189,11583,522713,1,0,2026-02-18
MX,0030,84,1722657,11553,517297,1,0,2026-02-18
MX,0030,84,1722657,11553,516209,1,0,2026-02-18
MX,0030,84,1736665,11583,522512,1,0,2026-02-18
MX,0030,84,1736668,11583,522512,1,0,2026-02-18
MX,0030,84,1743543,11553,517140,1,0,2026-02-18
MX,0030,112,1747229,10653,517140,1,0,2026-02-18
MX,0030,112,1765187,10653,517140,1,0,2026-02-18
MX,0030,84,1765552,11553,599228,1,0,2026-02-18
MX,0030,84,1765552,11553,598901,1,0,2026-02-18
MX,0030,84,1770177,11553,522512,1,0,2026-02-18
MX,0030,112,1779595,10653,517262,1,0,2026-02-18
MX,0030,112,1779597,10653,522713,1,0,2026-02-18
MX,0030,112,1783827,10653,517140,1,0,2026-02-18
MX,0030,112,1791630,10743,522512,1,0,2026-02-18
MX,0030,112,1791771,10743,599212,1,0,2026-02-18
MX,0030,112,1791775,10743,522713,1,0,2026-02-18
MX,0030,112,1792066,10743,522512,1,0,2026-02-18
MX,0030,112,1792077,10743,517140,1,0,2026-02-18
MX,0030,112,1792078,10743,599212,1,0,2026-02-18
MX,0030,112,1792180,10743,522512,1,0,2026-02-18
MX,0030,112,1792181,10743,517263,1,0,2026-02-18
MX,0030,112,1792183,10743,517262,1,0,2026-02-18
MX,0030,112,1792191,10743,517140,1,0,2026-02-18
MX,0030,112,1792192,10743,517263,1,0,2026-02-18
MX,0030,112,1792192,10743,800054,1,0,2026-02-18
MX,0030,112,1792195,10743,522713,1,0,2026-02-18
MX,0030,112,1792196,10743,517262,1,0,2026-02-18
MX,0030,112,1792200,10743,522713,1,0,2026-02-18
MX,0030,112,1792207,10743,517262,1,0,2026-02-18
MX,0030,112,1792319,10743,517140,1,0,2026-02-18
MX,0030,112,1792322,10743,800054,1,0,2026-02-18
MX,0030,112,1792327,10743,517262,1,0,2026-02-18
MX,0030,112,1792328,10743,599228,1,0,2026-02-18
MX,0030,112,1792611,10743,517263,1,0,2026-02-18
