Pais,Compania,Sucursal,Cliente,Modulo,Producto,Cajas,Unidades,Fecha
MX,0030,84,1515055,11556,522355,1,0,2025-02-22
MX,0030,84,1515055,11556,517263,1,0,2025-02-22
MX,0030,84,1515055,11556,800060,1,0,2025-02-22
MX,0030,84,1515055,11556,515614,1,0,2025-02-22
MX,0030,84,1522056,11586,522352,1,0,2025-02-22
MX,0030,84,1522056,11586,517262,1,0,2025-02-22
MX,0030,84,1522056,11586,599590,1,0,2025-02-22
MX,0030,84,1525552,11556,522577,1,0,2025-02-22
MX,0030,84,1525552,11556,599876,1,0,2025-02-22
MX,0030,112,1560344,10656,517140,1,0,2025-02-22
MX,0030,112,1560344,10656,598801,1,0,2025-02-22
MX,0030,112,1560348,10656,517262,1,0,2025-02-22
MX,0030,112,1560348,10656,515614,1,0,2025-02-22
MX,0030,112,1560351,10656,598801,1,0,2025-02-22
MX,0030,112,1560361,10656,517262,1,0,2025-02-22
MX,0030,112,1560395,10656,522355,1,0,2025-02-22
MX,0030,112,1560395,10656,517263,1,0,2025-02-22
MX,0030,112,1560916,10656,522355,1,0,2025-02-22
MX,0030,112,1560999,10656,517262,1,0,2025-02-22
MX,0030,112,1561021,10656,517140,1,0,2025-02-22
MX,0030,112,1561568,10656,517140,1,0,2025-02-22
MX,0030,112,1561569,10656,517262,1,0,2025-02-22
MX,0030,112,1561570,10656,517263,1,0,2025-02-22
MX,0030,112,1561574,10656,517140,1,0,2025-02-22
MX,0030,112,1563951,10656,500354,1,0,2025-02-22
MX,0030,112,1563954,10656,517263,1,0,2025-02-22
MX,0030,112,1563967,10656,517262,1,0,2025-02-22
MX,0030,112,1564159,10656,522355,1,0,2025-02-22
MX,0030,112,1564159,10656,517263,1,0,2025-02-22
MX,0030,112,1564159,10656,599565,1,0,2025-02-22
MX,0030,112,1564160,10656,522795,1,0,2025-02-22
MX,0030,112,1564165,10656,599565,1,0,2025-02-22
MX,0030,112,1564166,10656,599228,1,0,2025-02-22
MX,0030,112,1564168,10656,517263,1,0,2025-02-22
MX,0030,112,1564242,10656,515614,1,0,2025-02-22
MX,0030,112,1564259,10656,517140,1,0,2025-02-22
MX,0030,112,1588257,10656,517140,1,0,2025-02-22
MX,0030,84,1591798,11586,598801,1,0,2025-02-22
MX,0030,84,1592102,11586,599565,1,0,2025-02-22
MX,0030,84,1592521,11586,800060,1,0,2025-02-22
MX,0030,84,1592521,11586,598801,1,0,2025-02-22
MX,0030,84,1593470,11586,517140,1,0,2025-02-22
MX,0030,84,1594546,11556,522355,1,0,2025-02-22
MX,0030,84,1594890,11556,517263,1,0,2025-02-22
