Pais,Compania,Sucursal,Cliente,Modulo,Producto,Cajas,Unidades,Fecha
MX,0030,84,1515055,11556,517262,1,0,2025-11-29
MX,0030,84,1515055,11556,800060,1,0,2025-11-29
MX,0030,84,1515055,11556,500354,1,0,2025-11-29
MX,0030,84,1522056,11586,599587,1,0,2025-11-29
MX,0030,84,1522069,11586,598901,1,0,2025-11-29
MX,0030,84,1525552,11556,800060,1,0,2025-11-29
MX,0030,112,1560344,10656,517140,1,0,2025-11-29
MX,0030,112,1560395,10656,517262,1,0,2025-11-29
MX,0030,112,1560999,10656,517262,1,0,2025-11-29
MX,0030,112,1561021,10656,522512,1,0,2025-11-29
MX,0030,112,1561572,10656,517262,1,0,2025-11-29
MX,0030,112,1561574,10656,517140,1,0,2025-11-29
MX,0030,112,1563951,10656,517262,1,0,2025-11-29
MX,0030,112,1563954,10656,517140,1,0,2025-11-29
MX,0030,112,1564159,10656,517262,1,0,2025-11-29
MX,0030,112,1564160,10656,517262,1,0,2025-11-29
MX,0030,112,1564165,10656,517262,1,0,2025-11-29
MX,0030,112,1564166,10656,517140,1,0,2025-11-29
MX,0030,112,1564168,10656,517262,1,0,2025-11-29
MX,0030,112,1564171,10656,599212,1,0,2025-11-29
MX,0030,112,1564259,10656,517262,1,0,2025-11-29
MX,0030,112,1564558,10656,517140,1,0,2025-11-29
MX,0030,112,1588257,10656,522512,1,0,2025-11-29
MX,0030,84,1592102,11586,517140,1,0,2025-11-29
MX,0030,84,1592521,11586,517140,1,0,2025-11-29
MX,0030,84,1592521,11586,599590,1,0,2025-11-29
MX,0030,84,1593470,11586,517262,1,0,2025-11-29
MX,0030,84,1594117,11556,517262,1,0,2025-11-29
MX,0030,84,1595037,11586,517262,1,0,2025-11-29
MX,0030,84,1595100,11556,517263,1,0,2025-11-29
MX,0030,84,1595342,11556,522512,1,0,2025-11-29
MX,0030,84,1595708,11586,517262,1,0,2025-11-29
MX,0030,84,1596538,11586,517146,1,0,2025-11-29
MX,0030,84,1596559,11556,599590,1,0,2025-11-29
MX,0030,84,1596872,11556,517262,1,0,2025-11-29
MX,0030,84,1597043,11586,517262,1,0,2025-11-29
MX,0030,84,1598064,11586,517140,1,0,2025-11-29
MX,0030,84,1598190,11556,517140,1,0,2025-11-29
MX,0030,84,1598190,11556,598901,1,0,2025-11-29
MX,0030,84,1598383,11586,517297,1,0,2025-11-29
MX,0030,84,1598519,11586,522713,1,0,2025-11-29
MX,0030,84,1598601,11586,517262,1,0,2025-11-29
MX,0030,84,1598806,11586,517140,1,0,2025-11-29
MX,0030,84,1599011,11556,517263,1,0,2025-11-29
MX,0030,84,1599140,11586,517297,1,0,2025-11-29
MX,0030,84,1599140,11586,599590,1,0,2025-11-29
MX,0030,84,1599308,11556,599212,1,0,2025-11-29
MX,0030,84,1599331,11556,517262,1,0,2025-11-29
MX,0030,84,1599696,11586,517262,1,0,2025-11-29
MX,0030,84,1599696,11586,599590,1,0,2025-11-29
MX,0030,84,1599980,11586,517262,1,0,2025-11-29
MX,0030,84,1600351,11556,517262,1,0,2025-11-29
MX,0030,84,1601398,11586,517262,1,0,2025-11-29
MX,0030,84,1601704,11586,517140,1,0,2025-11-29
MX,0030,84,1601704,11586,598901,1,0,2025-11-29
MX,0030,84,1602145,11586,517297,1,0,2025-11-29
MX,0030,84,1602152,11586,522713,1,0,2025-11-29
MX,0030,84,1602152,11586,800060,1,0,2025-11-29
MX,0030,84,1602311,11556,517262,1,0,2025-11-29
MX,0030,84,1602311,11556,800060,1,0,2025-11-29
MX,0030,84,1602812,11586,522512,1,0,2025-11-29
MX,0030,84,1602812,11586,500354,1,0,2025-11-29
MX,0030,84,1602877,11556,517262,1,0,2025-11-29
MX,0030,84,1603061,11586,517140,1,0,2025-11-29
MX,0030,84,1603154,11586,517262,1,0,2025-11-29
MX,0030,84,1603420,11556,800060,1,0,2025-11-29
MX,0030,84,1603422,11556,522512,1,0,2025-11-29
MX,0030,84,1603982,11556,517262,1,0,2025-11-29
MX,0030,84,1604184,11556,76643,1,0,2025-11-29
MX,0030,84,1604521,11556,517140,1,0,2025-11-29
MX,0030,84,1604953,11556,598901,1,0,2025-11-29
MX,0030,84,1605404,11586,517262,1,0,2025-11-29
MX,0030,84,1605404,11586,599587,1,0,2025-11-29
MX,0030,84,1605404,11586,500354,1,0,2025-11-29
MX,0030,84,1605710,11556,517263,1,0,2025-11-29
MX,0030,84,1625926,11586,517140,1,0,2025-11-29
MX,0030,84,1639178,11556,517140,1,0,2025-11-29
MX,0030,84,1639178,11556,800060,1,0,2025-11-29
MX,0030,84,1639182,11586,517140,1,0,2025-11-29
MX,0030,84,1650395,11556,800060,1,0,2025-11-29
MX,0030,84,1650396,11586,599587,1,0,2025-11-29
MX,0030,84,1650396,11586,500354,1,0,2025-11-29
MX,0030,84,1650397,11586,522512,1,0,2025-11-29
MX,0030,84,1661453,11556,599590,1,0,2025-11-29
MX,0030,84,1661454,11586,517140,1,0,2025-11-29
MX,0030,84,1661454,11586,598901,1,0,2025-11-29
MX,0030,84,1667270,11586,517297,1,0,2025-11-29
MX,0030,84,1667280,11556,517140,1,0,2025-11-29
MX,0030,84,1667280,11556,800060,1,0,2025-11-29
MX,0030,84,1667281,11556,522512,1,0,2025-11-29
MX,0030,84,1667282,11556,76643,1,0,2025-11-29
MX,0030,84,1667282,11556,599228,1,0,2025-11-29
MX,0030,84,1668074,11586,517262,1,0,2025-11-29
MX,0030,84,1668093,11586,517140,1,0,2025-11-29
MX,0030,84,1686080,11586,517140,1,0,2025-11-29
MX,0030,84,1686081,11586,522512,1,0,2025-11-29
MX,0030,84,1708421,11586,517140,1,0,2025-11-29
