Pais,Compania,Sucursal,Cliente,Modulo,Producto,Cajas,Unidades,Fecha
MX,0030,112,1557588,10744,517140,1,0,2026-01-15
MX,0030,112,1557597,10744,517262,1,0,2026-01-15
MX,0030,112,1557600,10744,517262,1,0,2026-01-15
MX,0030,112,1557995,10744,517262,1,0,2026-01-15
MX,0030,112,1558000,10744,517140,1,0,2026-01-15
MX,0030,112,1558006,10744,517140,1,0,2026-01-15
MX,0030,112,1558006,10744,598901,1,0,2026-01-15
MX,0030,112,1558007,10744,517262,1,0,2026-01-15
MX,0030,112,1558008,10744,517140,1,0,2026-01-15
MX,0030,112,1558021,10744,517140,1,0,2026-01-15
MX,0030,112,1558026,10744,517262,1,0,2026-01-15
MX,0030,112,1558032,10744,517140,1,0,2026-01-15
MX,0030,112,1558034,10744,517140,1,0,2026-01-15
MX,0030,112,1558039,10744,517262,1,0,2026-01-15
MX,0030,112,1558041,10744,517262,1,0,2026-01-15
MX,0030,112,1558678,10654,517262,1,0,2026-01-15
MX,0030,112,1560303,10654,517262,1,0,2026-01-15
MX,0030,112,1560304,10654,517262,1,0,2026-01-15
MX,0030,112,1560306,10654,517262,1,0,2026-01-15
MX,0030,112,1560306,10654,598901,1,0,2026-01-15
MX,0030,112,1560310,10654,598901,1,0,2026-01-15
MX,0030,112,1560849,10654,522512,1,0,2026-01-15
MX,0030,112,1560857,10654,598901,1,0,2026-01-15
MX,0030,112,1560858,10654,517262,1,0,2026-01-15
MX,0030,112,1560859,10654,517263,1,0,2026-01-15
MX,0030,112,1560862,10654,517262,1,0,2026-01-15
MX,0030,112,1562424,10744,517140,1,0,2026-01-15
MX,0030,112,1562498,10744,517140,1,0,2026-01-15
MX,0030,112,1562504,10744,517262,1,0,2026-01-15
MX,0030,112,1562829,10744,517140,1,0,2026-01-15
MX,0030,112,1563205,10654,522512,1,0,2026-01-15
MX,0030,112,1563277,10744,622631,1,0,2026-01-15
MX,0030,112,1563294,10744,517262,1,0,2026-01-15
MX,0030,112,1563340,10744,517262,1,0,2026-01-15
MX,0030,112,1563346,10744,517262,1,0,2026-01-15
MX,0030,112,1563353,10744,517262,1,0,2026-01-15
MX,0030,112,1563370,10744,517140,1,0,2026-01-15
MX,0030,112,1563370,10744,622631,1,0,2026-01-15
MX,0030,84,1587239,11554,517262,1,0,2026-01-15
MX,0030,84,1591425,11584,517146,1,0,2026-01-15
MX,0030,84,1591811,11584,500354,1,0,2026-01-15
MX,0030,84,1591974,11554,599228,1,0,2026-01-15
MX,0030,84,1592360,11584,599228,1,0,2026-01-15
MX,0030,84,1592447,11584,522512,1,0,2026-01-15
MX,0030,84,1594570,11584,517140,1,0,2026-01-15
MX,0030,84,1594932,11554,517262,1,0,2026-01-15
MX,0030,84,1595713,11554,517297,1,0,2026-01-15
MX,0030,84,1595713,11554,800060,1,0,2026-01-15
MX,0030,84,1595713,11554,622631,1,0,2026-01-15
MX,0030,84,1596035,11584,517262,1,0,2026-01-15
MX,0030,84,1596102,11584,517262,1,0,2026-01-15
MX,0030,84,1596835,11554,517140,1,0,2026-01-15
MX,0030,84,1596835,11554,500171,1,0,2026-01-15
MX,0030,84,1597976,11554,517140,1,0,2026-01-15
MX,0030,84,1597976,11554,800060,1,0,2026-01-15
MX,0030,84,1598204,11554,517263,1,0,2026-01-15
MX,0030,84,1598204,11554,598901,1,0,2026-01-15
MX,0030,84,1598248,11584,517262,1,0,2026-01-15
