Pais,Compania,Sucursal,Cliente,Modulo,Producto,Cajas,Unidades,Fecha
MX,0030,84,1508887,11585,517140,1,0,2026-01-23
MX,0030,84,1513652,11585,599587,1,0,2026-01-23
MX,0030,84,1513791,11555,517263,1,0,2026-01-23
MX,0030,84,1513791,11555,500354,1,0,2026-01-23
MX,0030,84,1515420,11555,522713,1,0,2026-01-23
MX,0030,84,1527760,11555,517140,1,0,2026-01-23
MX,0030,112,1549711,10655,517140,1,0,2026-01-23
MX,0030,112,1549718,10655,522512,1,0,2026-01-23
MX,0030,112,1549727,10655,517262,1,0,2026-01-23
MX,0030,112,1549730,10655,522713,1,0,2026-01-23
MX,0030,112,1549943,10655,599212,1,0,2026-01-23
MX,0030,112,1551304,10655,517140,1,0,2026-01-23
MX,0030,112,1551314,10655,522512,1,0,2026-01-23
MX,0030,112,1551337,10655,517262,1,0,2026-01-23
MX,0030,112,1551539,10655,517262,1,0,2026-01-23
MX,0030,112,1551545,10655,517140,1,0,2026-01-23
MX,0030,112,1551546,10655,599212,1,0,2026-01-23
MX,0030,112,1551548,10655,517262,1,0,2026-01-23
MX,0030,112,1551554,10655,522713,1,0,2026-01-23
MX,0030,84,1579742,11555,517297,1,0,2026-01-23
MX,0030,84,1579748,11555,517297,1,0,2026-01-23
MX,0030,84,1590466,11585,800060,1,0,2026-01-23
MX,0030,84,1591931,11585,598801,1,0,2026-01-23
MX,0030,84,1591971,11585,517262,1,0,2026-01-23
MX,0030,84,1592111,11585,800060,1,0,2026-01-23
MX,0030,84,1592160,11555,517297,1,0,2026-01-23
MX,0030,84,1592160,11555,516209,1,0,2026-01-23
MX,0030,84,1592160,11555,500171,1,0,2026-01-23
MX,0030,84,1592404,11585,522713,1,0,2026-01-23
MX,0030,84,1592404,11585,800058,1,0,2026-01-23
MX,0030,84,1592510,11555,522713,1,0,2026-01-23
MX,0030,84,1592535,11585,522713,1,0,2026-01-23
MX,0030,84,1592535,11585,599590,1,0,2026-01-23
MX,0030,84,1592559,11585,800058,1,0,2026-01-23
MX,0030,84,1593030,11555,517140,1,0,2026-01-23
MX,0030,84,1593084,11585,599228,1,0,2026-01-23
MX,0030,84,1594522,11585,599228,1,0,2026-01-23
MX,0030,84,1594522,11585,800058,1,0,2026-01-23
MX,0030,84,1595492,11585,517262,1,0,2026-01-23
MX,0030,84,1595836,11555,522713,1,0,2026-01-23
MX,0030,84,1596425,11585,517262,1,0,2026-01-23
MX,0030,84,1596923,11555,599228,1,0,2026-01-23
MX,0030,84,1596924,11555,517262,1,0,2026-01-23
MX,0030,84,1597057,11585,517262,1,0,2026-01-23
MX,0030,84,1597375,11585,517140,1,0,2026-01-23
MX,0030,84,1597512,11555,522512,1,0,2026-01-23
MX,0030,84,1597575,11555,517262,1,0,2026-01-23
MX,0030,84,1597819,11555,522713,1,0,2026-01-23
MX,0030,84,1598052,11555,800060,1,0,2026-01-23
MX,0030,84,1598206,11555,517262,1,0,2026-01-23
MX,0030,84,1598256,11555,517140,1,0,2026-01-23
MX,0030,84,1598520,11555,517262,1,0,2026-01-23
MX,0030,84,1599057,11585,517262,1,0,2026-01-23
MX,0030,84,1599384,11585,517262,1,0,2026-01-23
MX,0030,84,1599514,11585,517262,1,0,2026-01-23
MX,0030,84,1599547,11585,517262,1,0,2026-01-23
MX,0030,84,1599547,11585,800054,1,0,2026-01-23
MX,0030,84,1599640,11585,599228,1,0,2026-01-23
MX,0030,84,1599818,11585,522713,1,0,2026-01-23
MX,0030,84,1599956,11585,517262,1,0,2026-01-23
MX,0030,84,1599961,11555,522713,1,0,2026-01-23
MX,0030,84,1600225,11555,517262,1,0,2026-01-23
MX,0030,84,1600292,11585,599212,1,0,2026-01-23
MX,0030,84,1600292,11585,599565,1,0,2026-01-23
MX,0030,84,1601043,11555,517262,1,0,2026-01-23
MX,0030,84,1601217,11555,517140,1,0,2026-01-23
MX,0030,84,1601327,11585,517262,1,0,2026-01-23
MX,0030,84,1601327,11585,599590,1,0,2026-01-23
MX,0030,84,1601636,11555,599212,1,0,2026-01-23
MX,0030,84,1601668,11585,517263,1,0,2026-01-23
MX,0030,84,1601771,11585,599590,1,0,2026-01-23
MX,0030,84,1601771,11585,800058,1,0,2026-01-23
MX,0030,84,1602016,11555,599212,1,0,2026-01-23
MX,0030,84,1602074,11585,800060,1,0,2026-01-23
MX,0030,84,1602250,11555,517262,1,0,2026-01-23
MX,0030,84,1602315,11585,517140,1,0,2026-01-23
MX,0030,84,1602462,11555,522713,1,0,2026-01-23
MX,0030,84,1602466,11585,517262,1,0,2026-01-23
MX,0030,84,1602483,11585,599212,1,0,2026-01-23
MX,0030,84,1602486,11585,517140,1,0,2026-01-23
MX,0030,84,1602558,11555,517140,1,0,2026-01-23
MX,0030,84,1603396,11585,522512,1,0,2026-01-23
MX,0030,84,1603412,11555,517262,1,0,2026-01-23
MX,0030,84,1603418,11555,517140,1,0,2026-01-23
MX,0030,84,1603864,11585,517262,1,0,2026-01-23
MX,0030,84,1603864,11585,598901,1,0,2026-01-23
MX,0030,84,1603864,11585,500354,1,0,2026-01-23
MX,0030,84,1603879,11555,517146,1,0,2026-01-23
MX,0030,84,1604029,11555,517262,1,0,2026-01-23
MX,0030,84,1604456,11585,599228,1,0,2026-01-23
MX,0030,84,1604961,11555,522713,1,0,2026-01-23
MX,0030,84,1605206,11555,598901,1,0,2026-01-23
MX,0030,84,1605308,11585,517140,1,0,2026-01-23
MX,0030,112,1625338,10655,517140,1,0,2026-01-23
MX,0030,84,1625435,11555,599228,1,0,2026-01-23
MX,0030,84,1625435,11555,599565,1,0,2026-01-23
MX,0030,84,1625928,11555,522713,1,0,2026-01-23
MX,0030,84,1625930,11555,517140,1,0,2026-01-23
MX,0030,84,1625931,11555,522713,1,0,2026-01-23
MX,0030,112,1628873,10655,522713,1,0,2026-01-23
MX,0030,112,1628876,10655,522713,1,0,2026-01-23
MX,0030,84,1630080,11555,522713,1,0,2026-01-23
MX,0030,84,1631459,11555,517263,1,0,2026-01-23
MX,0030,84,1631459,11555,500354,1,0,2026-01-23
MX,0030,84,1639327,11555,516209,1,0,2026-01-23
MX,0030,84,1639327,11555,800060,1,0,2026-01-23
MX,0030,84,1657274,11585,599590,1,0,2026-01-23
MX,0030,84,1661423,11555,522713,1,0,2026-01-23
MX,0030,84,1662170,11555,599218,1,0,2026-01-23
MX,0030,84,1667300,11555,516209,1,0,2026-01-23
MX,0030,84,1668051,11585,517263,1,0,2026-01-23
MX,0030,84,1668104,11585,517262,1,0,2026-01-23
MX,0030,84,1668107,11585,599565,1,0,2026-01-23
MX,0030,112,1705570,10655,517262,1,0,2026-01-23
MX,0030,84,1722081,11585,517262,1,0,2026-01-23
MX,0030,84,1722081,11585,800058,1,0,2026-01-23
MX,0030,84,1727373,11585,522512,1,0,2026-01-23
MX,0030,84,1743486,11555,598901,1,0,2026-01-23
MX,0030,84,1751692,11555,517262,1,0,2026-01-23
MX,0030,84,1751692,11555,599565,1,0,2026-01-23
MX,0030,84,1751857,11555,522713,1,0,2026-01-23
MX,0030,112,1783386,10655,522713,1,0,2026-01-23
MX,0030,112,1791412,10745,800058,1,0,2026-01-23
MX,0030,112,1791412,10745,800054,1,0,2026-01-23
MX,0030,112,1791413,10745,517297,1,0,2026-01-23
MX,0030,112,1791639,10745,599212,1,0,2026-01-23
MX,0030,112,1791641,10745,599565,1,0,2026-01-23
MX,0030,112,1791783,10745,599212,1,0,2026-01-23
MX,0030,112,1791783,10745,599565,1,0,2026-01-23
MX,0030,112,1791784,10745,517262,1,0,2026-01-23
MX,0030,112,1792217,10745,599212,1,0,2026-01-23
MX,0030,112,1792219,10745,522512,1,0,2026-01-23
MX,0030,112,1792220,10745,517262,1,0,2026-01-23
MX,0030,112,1792395,10745,599212,1,0,2026-01-23
MX,0030,112,1792395,10745,599587,1,0,2026-01-23
MX,0030,112,1792453,10745,522512,1,0,2026-01-23
MX,0030,112,1792467,10745,517140,1,0,2026-01-23
MX,0030,112,1792563,10745,522713,1,0,2026-01-23
MX,0030,112,1792565,10745,517262,1,0,2026-01-23
