id_cliente;cod_articulo_magic
MX|0030|1514907;522713
MX|0030|1514907;523738
MX|0030|1514907;508594
MX|0030|1514907;599228
MX|0030|1514907;517140
MX|0030|1514907;517262
MX|0030|1514907;500354
MX|0030|1514907;508593
MX|0030|1514907;524122
MX|0030|1514907;522512
MX|0030|1514907;524101
MX|0030|1514907;800058
MX|0030|1514907;517297
MX|0030|1514907;524120
MX|0030|1514907;524123
MX|0030|1514907;624296
MX|0030|1514907;524125
MX|0030|1527488;517262
MX|0030|1527488;517140
MX|0030|1545369;509826
MX|0030|1545369;599212
MX|0030|1545369;524120
MX|0030|1545369;523439
MX|0030|1545369;517262
MX|0030|1545369;519851
MX|0030|1545369;598808
MX|0030|1545369;524104
MX|0030|1545378;508594
MX|0030|1545386;508593
MX|0030|1545386;517262
MX|0030|1545435;522512
MX|0030|1545435;517140
MX|0030|1545435;517262
MX|0030|1545442;517262
MX|0030|1545466;509826
MX|0030|1545466;599212
MX|0030|1545466;517140
MX|0030|1545466;517262
MX|0030|1545466;508594
MX|0030|1545470;517140
MX|0030|1545470;517262
MX|0030|1547118;524123
MX|0030|1547118;522713
MX|0030|1547118;522512
MX|0030|1547118;524120
MX|0030|1547118;599228
MX|0030|1547118;508593
MX|0030|1547118;517262
MX|0030|1547118;517140
MX|0030|1547118;508594
MX|0030|1547118;800058
MX|0030|1547125;524123
MX|0030|1547125;509826
MX|0030|1547125;522512
MX|0030|1547125;508593
MX|0030|1547125;524120
MX|0030|1547125;522713
MX|0030|1547125;599228
MX|0030|1547125;523439
MX|0030|1547125;624296
MX|0030|1547125;500354
MX|0030|1547125;517140
MX|0030|1547125;517262
MX|0030|1547125;800058
MX|0030|1547125;508594
MX|0030|1547125;524017
MX|0030|1547957;599228
MX|0030|1547957;522512
MX|0030|1547957;508593
MX|0030|1547957;522713
MX|0030|1547957;523439
MX|0030|1547957;599212
MX|0030|1547957;517262
MX|0030|1548394;522512
MX|0030|1548394;599228
MX|0030|1548394;522713
MX|0030|1548394;508593
MX|0030|1548394;523439
MX|0030|1548394;524123
MX|0030|1548394;517262
MX|0030|1548394;517140
MX|0030|1548394;508594
MX|0030|1548408;517262
MX|0030|1548409;522512
MX|0030|1548409;522713
MX|0030|1548409;599228
MX|0030|1548409;508593
MX|0030|1548409;509826
MX|0030|1548409;517262
MX|0030|1548409;517140
MX|0030|1548410;517262
MX|0030|1548411;517140
MX|0030|1548411;517262
MX|0030|1548562;517262
MX|0030|1548563;522512
MX|0030|1548563;508593
MX|0030|1548563;523439
MX|0030|1548563;522713
MX|0030|1548563;599228
MX|0030|1548563;599212
MX|0030|1548563;524123
MX|0030|1548563;509826
MX|0030|1548563;517262
MX|0030|1548563;517140
MX|0030|1548569;517262
MX|0030|1548576;517262
MX|0030|1555784;524123
MX|0030|1555784;517262
MX|0030|1555784;517140
MX|0030|1555787;508593
MX|0030|1555787;517262
MX|0030|1555787;517140
MX|0030|1555788;517262
MX|0030|1555788;508594
MX|0030|1555794;517262
MX|0030|1555796;517262
MX|0030|1555796;517140
MX|0030|1555802;517262
MX|0030|1555802;508594
MX|0030|1555802;517140
MX|0030|1555804;524123
MX|0030|1555804;517140
MX|0030|1555804;517262
MX|0030|1555813;522713
MX|0030|1555813;522512
MX|0030|1555813;524123
MX|0030|1555813;599228
MX|0030|1555813;524120
MX|0030|1555813;517262
MX|0030|1555813;517140
MX|0030|1587626;524017
MX|0030|1587626;523439
MX|0030|1587626;517262
MX|0030|1587626;517140
MX|0030|1587626;524123
MX|0030|1587626;524122
MX|0030|1587626;524101
MX|0030|1587626;624296
MX|0030|1587626;76643
MX|0030|1587626;524124
MX|0030|1588818;517262
MX|0030|1588818;517140
MX|0030|1588829;522713
MX|0030|1588829;599228
MX|0030|1588829;523439
MX|0030|1588829;517262
MX|0030|1588829;517140
MX|0030|1588830;517146
MX|0030|1588830;517262
MX|0030|1588830;517140
MX|0030|1588833;517140
MX|0030|1588833;517262
MX|0030|1588838;508593
MX|0030|1588838;522713
MX|0030|1588838;523439
MX|0030|1588838;522512
MX|0030|1588838;599228
MX|0030|1588838;599212
MX|0030|1588838;517262
MX|0030|1588838;517140
MX|0030|1588838;519851
MX|0030|1588844;523439
MX|0030|1588844;508593
MX|0030|1588844;522512
MX|0030|1588844;522713
MX|0030|1588844;599228
MX|0030|1588844;524123
MX|0030|1588844;599212
MX|0030|1588844;524120
MX|0030|1588844;517146
MX|0030|1588844;509826
MX|0030|1588844;624296
MX|0030|1588844;517140
MX|0030|1588844;517262
MX|0030|1588844;800058
MX|0030|1588845;523439
MX|0030|1588845;517146
MX|0030|1588845;508593
MX|0030|1588845;599212
MX|0030|1588845;599228
MX|0030|1588845;522713
MX|0030|1588845;509826
MX|0030|1588845;522512
MX|0030|1588845;517140
MX|0030|1588845;517262
MX|0030|1588845;800058
MX|0030|1588845;524017
MX|0030|1588849;517140
MX|0030|1588850;522512
MX|0030|1588850;523439
MX|0030|1588850;517140
MX|0030|1588850;517262
MX|0030|1588851;522512
MX|0030|1588851;522713
MX|0030|1588851;599228
MX|0030|1588851;523439
MX|0030|1588851;599212
MX|0030|1588851;508593
MX|0030|1588851;517262
MX|0030|1588851;517140
MX|0030|1588854;522512
MX|0030|1588854;599228
MX|0030|1588854;523439
MX|0030|1588854;517140
MX|0030|1588854;508594
MX|0030|1588854;517262
MX|0030|1588861;523439
MX|0030|1588861;522512
MX|0030|1588861;599228
MX|0030|1588861;599212
MX|0030|1588861;522713
MX|0030|1588861;508593
MX|0030|1588861;509826
MX|0030|1588861;517146
MX|0030|1588861;500354
MX|0030|1588861;517262
MX|0030|1588861;517140
MX|0030|1588861;524017
MX|0030|1588996;522512
MX|0030|1588996;522713
MX|0030|1588996;517140
MX|0030|1588996;517262
MX|0030|1589041;522713
MX|0030|1589041;522512
MX|0030|1589041;599228
MX|0030|1589041;523439
MX|0030|1589041;599212
MX|0030|1589041;524120
MX|0030|1589041;517146
MX|0030|1589041;524123
MX|0030|1589041;508593
MX|0030|1589041;517262
MX|0030|1589041;517140
MX|0030|1589041;508594
MX|0030|1589042;599212
MX|0030|1589042;517146
MX|0030|1589042;522713
MX|0030|1589042;517262
MX|0030|1589042;508594
MX|0030|1589042;517140
MX|0030|1589043;523439
MX|0030|1589043;522713
MX|0030|1589043;522512
MX|0030|1589043;599228
MX|0030|1589043;508593
MX|0030|1589043;524123
MX|0030|1589043;517146
MX|0030|1589043;524120
MX|0030|1589043;599212
MX|0030|1589043;509826
MX|0030|1589043;800058
MX|0030|1589043;517140
MX|0030|1589043;517262
MX|0030|1591854;517262
MX|0030|1591854;517140
MX|0030|1591854;523738
MX|0030|1591854;522512
MX|0030|1591854;598901
MX|0030|1591866;508594
MX|0030|1591866;517262
MX|0030|1591950;508594
MX|0030|1591950;524122
MX|0030|1591950;524123
MX|0030|1591950;598901
MX|0030|1591950;524120
MX|0030|1591950;517262
MX|0030|1591950;524213
MX|0030|1592240;523439
MX|0030|1592240;523438
MX|0030|1592240;523437
MX|0030|1592240;508593
MX|0030|1593542;508594
MX|0030|1593542;598901
MX|0030|1593542;517262
MX|0030|1593542;517140
MX|0030|1593798;508594
